Method, Mean (ms), Stddev (ms)
write_plain 4 Kb, 3123.808999, 934.287519
write_plain 8 Kb, 2311.265181, 7.745842
write_plain 12 Kb, 2585.933238, 794.145057
write_plain 16 Kb, 2653.525853, 753.067756
write_plain 24 Kb, 2225.204686, 72.812442
write_plain 32 Kb, 2631.383214, 736.615313
write_plain 40 Kb, 2252.316193, 8.550536
write_plain 48 Kb, 2255.389133, 11.519581
write_plain 56 Kb, 2252.876191, 6.439587
write_plain 64 Kb, 2555.047670, 789.779511
write_plain 256 Kb, 2249.477734, 9.031944
write_plain 1024 Kb, 2597.287621, 736.358988
write_plain 4096 Kb, 2177.405607, 94.988593
write_plain 16384 Kb, 2232.072992, 5.776750
write_plain 65536 Kb, 2233.563081, 8.190668
write_direct 4 Kb, 3678.744542, 186.397900
write_direct 8 Kb, 3164.768825, 168.214180
write_direct 12 Kb, 2579.561023, 93.230109
write_direct 16 Kb, 2534.545550, 193.051133
write_direct 24 Kb, 2685.070327, 248.541324
write_direct 32 Kb, 2350.566461, 106.661215
write_direct 40 Kb, 2528.878510, 119.588606
write_direct 48 Kb, 2593.880095, 252.493884
write_direct 56 Kb, 2298.184091, 113.128593
write_direct 64 Kb, 2427.148437, 203.776648
write_direct 256 Kb, 2068.398320, 3.265543
write_direct 1024 Kb, 2130.745524, 12.974878
write_direct 4096 Kb, 2198.491706, 44.987901
write_direct 16384 Kb, 2191.428039, 5.978374
write_direct 65536 Kb, 2283.448796, 175.334357
write_preallocate 4 Kb, 1865.773391, 5.828411
write_preallocate 8 Kb, 1819.218421, 1.983744
write_preallocate 12 Kb, 2170.051756, 182.830890
write_preallocate 16 Kb, 1883.106150, 182.392979
write_preallocate 24 Kb, 2157.230626, 185.916821
write_preallocate 32 Kb, 1872.197155, 188.237046
write_preallocate 40 Kb, 2085.009257, 191.074161
write_preallocate 48 Kb, 2621.073813, 728.509954
write_preallocate 56 Kb, 2243.083629, 10.094873
write_preallocate 64 Kb, 1821.918175, 99.180894
write_preallocate 256 Kb, 1765.934186, 1.980390
write_preallocate 1024 Kb, 1753.466893, 1.771784
write_preallocate 4096 Kb, 1746.172834, 1.972458
write_preallocate 16384 Kb, 1746.198112, 2.914699
write_preallocate 65536 Kb, 1752.865104, 2.152979
write_async_plain 4 Kb, 2215.412501, 228.356794
write_async_plain 8 Kb, 2328.060121, 3.301001
write_async_plain 12 Kb, 2293.399090, 8.199174
write_async_plain 16 Kb, 2270.693948, 49.193876
write_async_plain 24 Kb, 2275.579769, 2.902747
write_async_plain 32 Kb, 2274.481640, 75.572914
write_async_plain 40 Kb, 2617.722243, 696.823825
write_async_plain 48 Kb, 2617.669664, 702.558190
write_async_plain 56 Kb, 2574.582653, 732.560972
write_async_plain 64 Kb, 2258.870416, 7.279114
write_async_plain 256 Kb, 2547.421217, 738.618614
write_async_plain 1024 Kb, 2243.010047, 6.708913
write_async_plain 4096 Kb, 2229.102591, 12.777295
write_async_plain 16384 Kb, 2139.612314, 84.623062
write_async_plain 65536 Kb, 2580.766609, 758.930058
write_async_direct 4 Kb, 2177.067078, 247.139446
write_async_direct 8 Kb, 2084.685073, 163.409963
write_async_direct 12 Kb, 2140.965771, 184.470550
write_async_direct 16 Kb, 1933.936091, 76.811376
write_async_direct 24 Kb, 2127.979521, 234.792885
write_async_direct 32 Kb, 1928.088937, 124.438972
write_async_direct 40 Kb, 1991.740323, 109.284948
write_async_direct 48 Kb, 2026.637201, 82.495194
write_async_direct 56 Kb, 2036.149867, 70.821392
write_async_direct 64 Kb, 2012.911219, 38.197942
write_async_direct 256 Kb, 1960.221835, 35.540197
write_async_direct 1024 Kb, 2000.467042, 16.418363
write_async_direct 4096 Kb, 2110.977430, 38.579087
write_async_direct 16384 Kb, 2497.821650, 227.828263
write_async_direct 65536 Kb, 2553.952532, 726.158557
write_async_preallocate 4 Kb, 2236.949404, 735.907799
write_async_preallocate 8 Kb, 2189.328155, 712.846173
write_async_preallocate 12 Kb, 2173.512674, 712.515171
write_async_preallocate 16 Kb, 1810.595263, 3.062869
write_async_preallocate 24 Kb, 1800.322611, 0.177609
write_async_preallocate 32 Kb, 1796.270451, 0.406889
write_async_preallocate 40 Kb, 1851.643665, 114.660404
write_async_preallocate 48 Kb, 1792.687590, 0.184668
write_async_preallocate 56 Kb, 1791.412276, 0.215269
write_async_preallocate 64 Kb, 1791.851317, 0.238162
write_async_preallocate 256 Kb, 1788.083778, 1.572044
write_async_preallocate 1024 Kb, 1781.786977, 0.629370
write_async_preallocate 4096 Kb, 1774.371001, 1.409085
write_async_preallocate 16384 Kb, 1764.581602, 3.147722
write_async_preallocate 65536 Kb, 1752.411106, 2.536551
write_mmap, 1751.284933, 1.226917
write_mmap, 1750.721861, 3.046746
