Method, File Size (KB), Mean (ms), Stddev (ms)
read_plain 4 Kb, 224, 741.249472, 43.399819
read_plain 8 Kb, 224, 741.124900, 48.427310
read_plain 12 Kb, 224, 759.801372, 52.994560
read_plain 16 Kb, 224, 744.278730, 43.396030
read_plain 24 Kb, 224, 726.773182, 19.016682
read_plain 32 Kb, 224, 737.690638, 57.990389
read_plain 40 Kb, 224, 742.183986, 40.934994
read_plain 48 Kb, 224, 742.153021, 51.756842
read_plain 56 Kb, 224, 756.623635, 49.871475
read_plain 64 Kb, 224, 824.416594, 90.371522
read_plain 256 Kb, 224, 771.538653, 108.458399
read_plain 1024 Kb, 224, 708.037105, 96.408870
read_plain 4096 Kb, 224, 691.749216, 68.197712
read_plain 16384 Kb, 224, 731.975018, 121.089810
read_plain 65536 Kb, 224, 632.566961, 37.356715
read_nocache 4 Kb, 224, 6895.608041, 77.865554
read_nocache 8 Kb, 224, 3879.828810, 69.967080
read_nocache 12 Kb, 224, 2917.377806, 49.964615
read_nocache 16 Kb, 224, 2415.690037, 54.706618
read_nocache 24 Kb, 224, 1831.938201, 26.548937
read_nocache 32 Kb, 224, 1484.781694, 29.750285
read_nocache 40 Kb, 224, 1336.913747, 30.760838
read_nocache 48 Kb, 224, 1219.086577, 28.769835
read_nocache 56 Kb, 224, 1149.965619, 54.587734
read_nocache 64 Kb, 224, 1153.932150, 73.092409
read_nocache 256 Kb, 224, 1175.640570, 105.868467
read_nocache 1024 Kb, 224, 825.349229, 91.955508
read_nocache 4096 Kb, 224, 730.206159, 107.302783
read_nocache 16384 Kb, 224, 668.021357, 72.946475
read_nocache 65536 Kb, 224, 703.113482, 95.501260
read_readahead 4 Kb, 224, 837.842754, 87.903830
read_readahead 8 Kb, 224, 815.623388, 46.840729
read_readahead 12 Kb, 224, 850.883035, 87.776763
read_readahead 16 Kb, 224, 828.117658, 99.586623
read_readahead 24 Kb, 224, 919.995880, 122.829146
read_readahead 32 Kb, 224, 896.490708, 95.178209
read_readahead 40 Kb, 224, 827.126276, 57.650916
read_readahead 48 Kb, 224, 822.074132, 50.487968
read_readahead 56 Kb, 224, 809.470909, 48.934003
read_readahead 64 Kb, 224, 872.140606, 96.475019
read_readahead 256 Kb, 224, 873.184466, 75.335139
read_readahead 1024 Kb, 224, 733.024257, 58.380782
read_readahead 4096 Kb, 224, 698.417725, 94.774570
read_readahead 16384 Kb, 224, 811.058017, 111.248678
read_readahead 65536 Kb, 224, 791.650393, 109.181815
read_rdadvise 4 Kb, 224, 774.194271, 93.440932
read_rdadvise 8 Kb, 224, 696.018353, 148.804784
read_rdadvise 12 Kb, 224, 698.399580, 102.020980
read_rdadvise 16 Kb, 224, 677.845083, 88.027692
read_rdadvise 24 Kb, 224, 636.618241, 93.208746
read_rdadvise 32 Kb, 224, 750.341123, 112.345330
read_rdadvise 40 Kb, 224, 684.809959, 130.895942
read_rdadvise 48 Kb, 224, 675.533690, 95.264619
read_rdadvise 56 Kb, 224, 655.773779, 90.399821
read_rdadvise 64 Kb, 224, 672.958101, 107.392211
read_rdadvise 256 Kb, 224, 661.987736, 100.505901
read_rdadvise 1024 Kb, 224, 653.313854, 84.547955
read_rdadvise 4096 Kb, 224, 613.884130, 50.519496
read_rdadvise 16384 Kb, 224, 633.195595, 75.927940
read_rdadvise 65536 Kb, 224, 767.089644, 139.504809
read_async_nocache 4 Kb, 224, 3834.523766, 56.634206
read_async_nocache 8 Kb, 224, 2218.046358, 59.674341
read_async_nocache 12 Kb, 224, 1649.040517, 65.931843
read_async_nocache 16 Kb, 224, 1433.511181, 73.030358
read_async_nocache 24 Kb, 224, 1150.415663, 92.565559
read_async_nocache 32 Kb, 224, 935.520679, 57.089616
read_async_nocache 40 Kb, 224, 904.292783, 124.112367
read_async_nocache 48 Kb, 224, 845.283734, 72.812522
read_async_nocache 56 Kb, 224, 877.320596, 185.384549
read_async_nocache 64 Kb, 224, 908.577420, 177.479670
read_async_nocache 256 Kb, 224, 843.999105, 101.460537
read_async_nocache 1024 Kb, 224, 717.331968, 190.963432
read_async_nocache 4096 Kb, 224, 615.575765, 130.463409
read_async_nocache 16384 Kb, 224, 611.510150, 122.017230
read_async_nocache 65536 Kb, 224, 687.543927, 120.228687
read_async_rdahead 4 Kb, 224, 763.050001, 66.821060
read_async_rdahead 8 Kb, 224, 832.307664, 94.735818
read_async_rdahead 12 Kb, 224, 759.200229, 74.102894
