Method, File Size (KB), Mean (ms), Stddev (ms)
read_plain 4 Kb, 40, 141.247444, 1.797185
read_plain 8 Kb, 40, 147.162930, 22.149994
read_plain 12 Kb, 40, 144.962489, 17.189314
read_plain 16 Kb, 40, 144.658885, 22.821143
read_plain 24 Kb, 40, 145.124099, 20.901032
read_plain 32 Kb, 40, 137.857147, 2.438420
read_plain 40 Kb, 40, 142.315476, 17.244814
read_plain 48 Kb, 40, 136.770374, 1.948859
read_plain 56 Kb, 40, 148.903683, 30.356400
read_plain 64 Kb, 40, 158.011562, 34.797390
read_plain 256 Kb, 40, 130.783893, 3.192856
read_plain 1024 Kb, 40, 127.210557, 26.183199
read_plain 4096 Kb, 40, 122.218433, 20.559012
read_plain 16384 Kb, 40, 129.702351, 2.181648
read_nocache 4 Kb, 40, 1311.458600, 29.280731
read_nocache 8 Kb, 40, 729.921616, 22.951815
read_nocache 12 Kb, 40, 519.913793, 7.452009
read_nocache 16 Kb, 40, 437.760372, 21.447768
read_nocache 24 Kb, 40, 334.485917, 15.610453
read_nocache 32 Kb, 40, 272.026718, 25.960637
read_nocache 40 Kb, 40, 238.716029, 6.584671
read_nocache 48 Kb, 40, 223.971475, 19.532497
read_nocache 56 Kb, 40, 255.405601, 34.244982
read_nocache 64 Kb, 40, 223.497349, 31.710697
read_nocache 256 Kb, 40, 238.113711, 30.277732
read_nocache 1024 Kb, 40, 157.893718, 25.312253
read_nocache 4096 Kb, 40, 142.655994, 35.238732
read_nocache 16384 Kb, 40, 138.717526, 33.794528
read_readahead 4 Kb, 40, 138.558358, 2.286361
read_readahead 8 Kb, 40, 137.053734, 2.082958
read_readahead 12 Kb, 40, 137.645621, 2.166405
read_readahead 16 Kb, 40, 138.371571, 2.320944
read_readahead 24 Kb, 40, 140.137117, 4.451269
read_readahead 32 Kb, 40, 159.343057, 26.968678
read_readahead 40 Kb, 40, 146.106150, 14.840455
read_readahead 48 Kb, 40, 146.294196, 15.386616
read_readahead 56 Kb, 40, 141.361555, 8.665461
read_readahead 64 Kb, 40, 148.300511, 26.828392
read_readahead 256 Kb, 40, 132.932699, 7.156020
read_readahead 1024 Kb, 40, 119.524890, 12.137826
read_readahead 4096 Kb, 40, 122.806550, 18.402552
read_readahead 16384 Kb, 40, 124.027551, 0.973621
read_rdadvise 4 Kb, 40, 86.677698, 4.800879
read_rdadvise 8 Kb, 40, 87.724928, 7.698144
read_rdadvise 12 Kb, 40, 92.141056, 19.894370
read_rdadvise 16 Kb, 40, 104.088683, 29.307721
read_rdadvise 24 Kb, 40, 86.207745, 1.336650
read_rdadvise 32 Kb, 40, 106.520926, 33.406932
read_rdadvise 40 Kb, 40, 90.854058, 9.825265
read_rdadvise 48 Kb, 40, 85.888639, 0.332063
read_rdadvise 56 Kb, 40, 96.348182, 13.821639
read_rdadvise 64 Kb, 40, 89.455116, 10.333915
read_rdadvise 256 Kb, 40, 101.833925, 32.306192
read_rdadvise 1024 Kb, 40, 86.354018, 0.780027
read_rdadvise 4096 Kb, 40, 96.368781, 17.769337
read_rdadvise 16384 Kb, 40, 99.612632, 12.555343
read_async_nocache 4 Kb, 40, 940.386158, 56.897786
read_async_nocache 8 Kb, 40, 559.213303, 12.187408
read_async_nocache 12 Kb, 40, 418.302330, 26.143138
read_async_nocache 16 Kb, 40, 335.484158, 17.290743
read_async_nocache 24 Kb, 40, 245.354366, 3.590470
read_async_nocache 32 Kb, 40, 229.389581, 43.135271
read_async_nocache 40 Kb, 40, 181.618302, 18.866876
read_async_nocache 48 Kb, 40, 160.119791, 1.627976
read_async_nocache 56 Kb, 40, 160.254605, 40.304436
read_async_nocache 64 Kb, 40, 153.042771, 30.109884
read_async_nocache 256 Kb, 40, 164.473412, 6.320216
read_async_nocache 1024 Kb, 40, 125.666273, 42.591429
read_async_nocache 4096 Kb, 40, 97.714394, 1.006041
read_async_nocache 16384 Kb, 40, 153.754192, 40.375549
read_async_rdahead 4 Kb, 40, 128.500572, 1.198863
read_async_rdahead 8 Kb, 40, 134.528252, 21.423404
read_async_rdahead 12 Kb, 40, 157.639726, 37.215477
read_async_rdahead 16 Kb, 40, 145.444359, 39.527077
read_async_rdahead 24 Kb, 40, 132.793825, 13.185188
read_async_rdahead 32 Kb, 40, 153.595251, 46.023504
read_async_rdahead 40 Kb, 40, 127.247338, 3.245489
read_async_rdahead 48 Kb, 40, 141.224860, 29.687204
read_async_rdahead 56 Kb, 40, 144.843313, 35.893238
read_async_rdahead 64 Kb, 40, 134.419487, 27.662480
read_async_rdahead 256 Kb, 40, 155.402243, 35.539558
read_async_rdahead 1024 Kb, 40, 128.572979, 9.886668
read_async_rdahead 4096 Kb, 40, 116.731976, 21.375828
read_async_rdahead 16384 Kb, 40, 116.049975, 3.353959
read_async_rdadvise 4 Kb, 40, 115.784581, 23.156603
read_async_rdadvise 8 Kb, 40, 109.999447, 31.159492
read_async_rdadvise 12 Kb, 40, 120.699893, 36.091212
read_async_rdadvise 16 Kb, 40, 95.825493, 18.407079
