Method, File Size (KB), Mean (ms), Stddev (ms)
read_plain 4 Kb, 8, 32.999976, 0.478282
read_plain 8 Kb, 8, 33.092512, 0.728778
read_plain 12 Kb, 8, 40.096393, 12.664784
read_plain 16 Kb, 8, 33.078408, 0.507994
read_plain 24 Kb, 8, 33.737779, 0.777140
read_plain 32 Kb, 8, 32.735999, 1.119851
read_plain 40 Kb, 8, 32.662492, 1.386333
read_plain 48 Kb, 8, 33.419439, 1.096937
read_plain 56 Kb, 8, 33.127350, 0.597167
read_plain 64 Kb, 8, 32.494417, 0.750136
read_plain 256 Kb, 8, 35.325950, 10.271948
read_plain 1024 Kb, 8, 28.491524, 0.884514
read_plain 4096 Kb, 8, 27.645776, 0.606327
read_nocache 4 Kb, 8, 277.609313, 16.544270
read_nocache 8 Kb, 8, 170.140608, 18.467511
read_nocache 12 Kb, 8, 135.102312, 24.213287
read_nocache 16 Kb, 8, 111.685323, 18.753648
read_nocache 24 Kb, 8, 87.114495, 8.420914
read_nocache 32 Kb, 8, 64.793163, 2.907283
read_nocache 40 Kb, 8, 61.451949, 4.746597
read_nocache 48 Kb, 8, 58.276625, 3.747338
read_nocache 56 Kb, 8, 52.947473, 3.420178
read_nocache 64 Kb, 8, 58.952486, 2.835659
read_nocache 256 Kb, 8, 48.470244, 2.391914
read_nocache 1024 Kb, 8, 33.023758, 10.483658
read_nocache 4096 Kb, 8, 26.389923, 0.858123
read_readahead 4 Kb, 8, 32.914805, 0.454501
read_readahead 8 Kb, 8, 33.323430, 0.569684
read_readahead 12 Kb, 8, 33.561862, 0.732380
read_readahead 16 Kb, 8, 32.852542, 0.507238
read_readahead 24 Kb, 8, 34.075786, 0.515008
read_readahead 32 Kb, 8, 32.323021, 0.467896
read_readahead 40 Kb, 8, 32.726545, 0.629900
read_readahead 48 Kb, 8, 33.447936, 0.683893
read_readahead 56 Kb, 8, 36.829338, 10.386124
read_readahead 64 Kb, 8, 32.494538, 0.531844
read_readahead 256 Kb, 8, 32.803711, 0.790247
read_readahead 1024 Kb, 8, 33.031446, 8.739805
read_readahead 4096 Kb, 8, 30.090318, 8.544603
read_rdadvise 4 Kb, 8, 20.238374, 0.749644
read_rdadvise 8 Kb, 8, 20.621498, 0.277357
read_rdadvise 12 Kb, 8, 20.352393, 0.461583
read_rdadvise 16 Kb, 8, 20.415106, 0.486555
read_rdadvise 24 Kb, 8, 20.362395, 0.334834
read_rdadvise 32 Kb, 8, 19.743418, 0.656119
read_rdadvise 40 Kb, 8, 22.214120, 6.238741
read_rdadvise 48 Kb, 8, 20.264123, 0.626533
read_rdadvise 56 Kb, 8, 20.371658, 0.349279
read_rdadvise 64 Kb, 8, 20.332005, 0.633350
read_rdadvise 256 Kb, 8, 20.286070, 0.563478
read_rdadvise 1024 Kb, 8, 20.783382, 0.528641
read_rdadvise 4096 Kb, 8, 24.231643, 5.457697
read_async_nocache 4 Kb, 8, 158.006203, 18.585643
read_async_nocache 8 Kb, 8, 102.844887, 14.333840
read_async_nocache 12 Kb, 8, 84.251095, 8.482808
read_async_nocache 16 Kb, 8, 73.180864, 10.022172
read_async_nocache 24 Kb, 8, 57.926266, 9.299522
read_async_nocache 32 Kb, 8, 46.385910, 4.835807
read_async_nocache 40 Kb, 8, 40.852091, 2.926126
read_async_nocache 48 Kb, 8, 39.667065, 4.635878
read_async_nocache 56 Kb, 8, 37.935477, 2.556289
read_async_nocache 64 Kb, 8, 53.711619, 21.372689
read_async_nocache 256 Kb, 8, 39.590404, 0.907088
read_async_nocache 1024 Kb, 8, 23.597282, 0.762202
read_async_nocache 4096 Kb, 8, 29.904557, 10.975179
read_async_rdahead 4 Kb, 8, 33.775888, 8.226275
read_async_rdahead 8 Kb, 8, 31.051132, 0.201243
read_async_rdahead 12 Kb, 8, 31.719818, 0.863121
read_async_rdahead 16 Kb, 8, 30.905802, 0.920647
read_async_rdahead 24 Kb, 8, 31.392714, 0.620591
read_async_rdahead 32 Kb, 8, 30.049281, 0.559250
read_async_rdahead 40 Kb, 8, 30.651621, 0.445763
read_async_rdahead 48 Kb, 8, 32.732763, 5.803929
read_async_rdahead 56 Kb, 8, 33.752998, 9.924485
read_async_rdahead 64 Kb, 8, 29.914508, 0.504901
read_async_rdahead 256 Kb, 8, 29.984643, 0.908285
read_async_rdahead 1024 Kb, 8, 28.524114, 5.440983
read_async_rdahead 4096 Kb, 8, 23.641552, 0.569569
read_async_rdadvise 4 Kb, 8, 20.922266, 1.917908
read_async_rdadvise 8 Kb, 8, 23.709684, 4.190056
read_async_rdadvise 12 Kb, 8, 22.497447, 1.569176
read_async_rdadvise 16 Kb, 8, 21.765614, 3.511529
read_async_rdadvise 24 Kb, 8, 27.565899, 8.109963
read_async_rdadvise 32 Kb, 8, 22.399500, 1.198121
read_async_rdadvise 40 Kb, 8, 20.593337, 1.585694
read_async_rdadvise 48 Kb, 8, 22.061983, 2.067472
read_async_rdadvise 56 Kb, 8, 23.673516, 6.750513
read_async_rdadvise 64 Kb, 8, 20.713600, 1.409586
read_async_rdadvise 256 Kb, 8, 26.248693, 6.320560
read_async_rdadvise 1024 Kb, 8, 28.213756, 7.693604
read_async_rdadvise 4096 Kb, 8, 30.422751, 6.434696
