Method, Mean (ms), Stddev (ms)
read_plain 4 Kb, 118.526609, 3.584851
read_plain 16 Kb, 134.641667, 29.526323
read_plain 64 Kb, 120.750602, 0.388407
read_plain 256 Kb, 115.755678, 0.812695
read_plain 1024 Kb, 112.708808, 21.339013
read_plain 4096 Kb, 99.127396, 20.436398
read_plain 16384 Kb, 97.245385, 2.908465
read_nocache 4 Kb, 1007.470558, 38.099213
read_nocache 16 Kb, 413.850002, 36.757814
read_nocache 64 Kb, 215.278251, 37.563217
read_nocache 256 Kb, 212.762179, 38.474447
read_nocache 1024 Kb, 106.316521, 1.486720
read_nocache 4096 Kb, 133.627137, 26.347914
read_nocache 16384 Kb, 91.888242, 1.496893
read_readahead 4 Kb, 144.304116, 44.491060
read_readahead 16 Kb, 119.470445, 0.894693
read_readahead 64 Kb, 120.389479, 1.786480
read_readahead 256 Kb, 141.688022, 50.405799
read_readahead 1024 Kb, 102.588757, 0.389030
read_readahead 4096 Kb, 102.638127, 30.202401
read_readahead 16384 Kb, 96.846414, 3.159263
read_rdadvise 4 Kb, 81.868942, 18.108107
read_rdadvise 16 Kb, 81.975629, 19.397637
read_rdadvise 64 Kb, 76.464519, 13.082387
read_rdadvise 256 Kb, 77.657483, 16.547112
read_rdadvise 1024 Kb, 69.186767, 0.955151
read_rdadvise 4096 Kb, 70.967648, 0.946107
read_rdadvise 16384 Kb, 94.479053, 34.239954
read_aio_nocache 4 Kb, 1172.378769, 6.600425
read_aio_nocache 16 Kb, 438.173061, 46.867832
read_aio_nocache 64 Kb, 214.106350, 47.054502
read_aio_nocache 256 Kb, 187.158198, 2.175192
read_aio_nocache 1024 Kb, 118.109949, 30.164893
read_aio_nocache 4096 Kb, 85.150237, 13.345731
read_aio_nocache 16384 Kb, 121.938098, 42.956594
read_aio_rdahead 4 Kb, 144.849040, 1.412793
read_aio_rdahead 16 Kb, 128.425648, 18.693470
read_aio_rdahead 64 Kb, 164.132590, 54.361492
read_aio_rdahead 256 Kb, 129.187087, 32.567044
read_aio_rdahead 1024 Kb, 100.919234, 0.565845
read_aio_rdahead 4096 Kb, 86.650129, 0.792722
read_aio_rdahead 16384 Kb, 130.925021, 31.312047
read_aio_rdadvise 4 Kb, 97.867447, 7.450211
read_aio_rdadvise 16 Kb, 84.670726, 22.505938
read_aio_rdadvise 64 Kb, 87.837418, 32.653115
read_aio_rdadvise 256 Kb, 84.807102, 30.771691
read_aio_rdadvise 1024 Kb, 69.701537, 0.715590
read_aio_rdadvise 4096 Kb, 70.804971, 1.112227
read_aio_rdadvise 16384 Kb, 79.362504, 1.006686
read_async_nocache 4 Kb, 601.655633, 48.235424
read_async_nocache 16 Kb, 246.068894, 12.066021
read_async_nocache 64 Kb, 168.221220, 18.473634
read_async_nocache 256 Kb, 179.287661, 37.121376
read_async_nocache 1024 Kb, 88.324665, 1.445972
read_async_nocache 4096 Kb, 90.958434, 21.904692
read_async_nocache 16384 Kb, 105.468336, 26.299718
read_async_rdahead 4 Kb, 126.692533, 32.393392
read_async_rdahead 16 Kb, 111.289549, 0.260184
read_async_rdahead 64 Kb, 109.215573, 0.880320
read_async_rdahead 256 Kb, 124.023365, 25.966034
read_async_rdahead 1024 Kb, 100.329415, 0.313512
read_async_rdahead 4096 Kb, 85.710787, 9.726721
read_async_rdahead 16384 Kb, 90.313090, 0.939879
read_async_rdadvise 4 Kb, 74.001563, 6.100837
read_async_rdadvise 16 Kb, 78.366666, 4.028293
read_async_rdadvise 64 Kb, 71.224246, 4.743647
read_async_rdadvise 256 Kb, 71.837412, 4.763293
read_async_rdadvise 1024 Kb, 71.167400, 5.440358
read_async_rdadvise 4096 Kb, 81.256954, 16.447467
read_async_rdadvise 16384 Kb, 79.129797, 0.989338
mmap_plain, 215.435771, 7.756298
mmap_readahead, 217.584916, 14.101752
mmap_rdadvise, 94.687922, 1.199481
