Method, File Size (KB), Mean (ms), Stddev (ms)
read_plain 4 Kb, 56, 202.930689, 10.149882
read_plain 8 Kb, 56, 205.444457, 20.691792
read_plain 12 Kb, 56, 203.146005, 9.339134
read_plain 16 Kb, 56, 205.133491, 18.159567
read_plain 24 Kb, 56, 206.238998, 26.397695
read_plain 32 Kb, 56, 195.265831, 3.125169
read_plain 40 Kb, 56, 201.966385, 21.578801
read_plain 48 Kb, 56, 218.424752, 31.203198
read_plain 56 Kb, 56, 253.819390, 52.779973
read_plain 64 Kb, 56, 230.538453, 35.036930
read_plain 256 Kb, 56, 198.103739, 0.851408
read_plain 1024 Kb, 56, 183.103082, 21.645976
read_plain 4096 Kb, 56, 186.913962, 45.631708
read_plain 16384 Kb, 56, 186.493833, 24.709980
read_nocache 4 Kb, 56, 1804.264273, 20.613521
read_nocache 8 Kb, 56, 1000.785585, 22.649004
read_nocache 12 Kb, 56, 722.122267, 8.106576
read_nocache 16 Kb, 56, 608.153140, 33.696774
read_nocache 24 Kb, 56, 455.141760, 10.470838
read_nocache 32 Kb, 56, 373.216956, 6.520017
read_nocache 40 Kb, 56, 346.042594, 25.927787
read_nocache 48 Kb, 56, 309.486686, 14.844196
read_nocache 56 Kb, 56, 300.245376, 37.696420
read_nocache 64 Kb, 56, 281.927875, 30.897546
read_nocache 256 Kb, 56, 333.632531, 43.717031
read_nocache 1024 Kb, 56, 213.288547, 37.031845
read_nocache 4096 Kb, 56, 191.528271, 38.029670
read_nocache 16384 Kb, 56, 190.320664, 31.862650
read_readahead 4 Kb, 56, 237.931754, 47.408021
read_readahead 8 Kb, 56, 209.146474, 1.862155
read_readahead 12 Kb, 56, 228.917660, 32.883840
read_readahead 16 Kb, 56, 218.363845, 40.645670
read_readahead 24 Kb, 56, 203.252065, 18.703189
read_readahead 32 Kb, 56, 222.268345, 36.915099
read_readahead 40 Kb, 56, 201.050638, 18.863358
read_readahead 48 Kb, 56, 207.241726, 30.891125
read_readahead 56 Kb, 56, 199.076785, 3.648461
read_readahead 64 Kb, 56, 202.073975, 20.263693
read_readahead 256 Kb, 56, 195.229407, 25.203867
read_readahead 1024 Kb, 56, 168.270955, 29.075419
read_readahead 4096 Kb, 56, 176.769680, 30.803317
read_readahead 16384 Kb, 56, 176.329962, 3.126651
read_rdadvise 4 Kb, 56, 148.471717, 34.094704
read_rdadvise 8 Kb, 56, 149.564975, 28.881199
read_rdadvise 12 Kb, 56, 142.348841, 27.926223
read_rdadvise 16 Kb, 56, 145.684338, 31.466459
read_rdadvise 24 Kb, 56, 126.453065, 1.763676
read_rdadvise 32 Kb, 56, 156.405229, 42.712478
read_rdadvise 40 Kb, 56, 143.592356, 33.512927
read_rdadvise 48 Kb, 56, 157.601403, 46.696235
read_rdadvise 56 Kb, 56, 153.135437, 50.227039
read_rdadvise 64 Kb, 56, 138.142037, 35.309396
read_rdadvise 256 Kb, 56, 133.525371, 29.777828
read_rdadvise 1024 Kb, 56, 149.917571, 44.543283
read_rdadvise 4096 Kb, 56, 144.709454, 44.705375
read_rdadvise 16384 Kb, 56, 128.542766, 0.586511
read_async_nocache 4 Kb, 56, 1415.413062, 134.126663
read_async_nocache 8 Kb, 56, 886.368864, 23.710701
read_async_nocache 12 Kb, 56, 620.915454, 24.389755
read_async_nocache 16 Kb, 56, 488.119938, 4.956578
read_async_nocache 24 Kb, 56, 360.655701, 24.037415
read_async_nocache 32 Kb, 56, 289.258699, 8.121916
read_async_nocache 40 Kb, 56, 272.834343, 34.733885
read_async_nocache 48 Kb, 56, 233.491613, 10.304465
read_async_nocache 56 Kb, 56, 227.082917, 42.295685
read_async_nocache 64 Kb, 56, 228.229760, 64.527289
read_async_nocache 256 Kb, 56, 246.087610, 33.496579
read_async_nocache 1024 Kb, 56, 163.307170, 33.158730
read_async_nocache 4096 Kb, 56, 137.968364, 12.676346
read_async_nocache 16384 Kb, 56, 164.907527, 41.302148
read_async_rdahead 4 Kb, 56, 240.511049, 50.545433
read_async_rdahead 8 Kb, 56, 193.319684, 22.569825
read_async_rdahead 12 Kb, 56, 194.931952, 30.858729
read_async_rdahead 16 Kb, 56, 193.656406, 29.568542
read_async_rdahead 24 Kb, 56, 203.509658, 38.573276
read_async_rdahead 32 Kb, 56, 183.808438, 1.575826
read_async_rdahead 40 Kb, 56, 197.322249, 41.677452
read_async_rdahead 48 Kb, 56, 181.969572, 3.517076
read_async_rdahead 56 Kb, 56, 219.773446, 41.769992
read_async_rdahead 64 Kb, 56, 193.595827, 29.204868
read_async_rdahead 256 Kb, 56, 187.793747, 34.868761
read_async_rdahead 1024 Kb, 56, 179.028662, 35.180346
read_async_rdahead 4096 Kb, 56, 133.854341, 1.343241
read_async_rdahead 16384 Kb, 56, 188.611359, 50.030723
read_async_rdadvise 4 Kb, 56, 143.974294, 25.366961
read_async_rdadvise 8 Kb, 56, 154.732239, 25.205390
read_async_rdadvise 12 Kb, 56, 162.767236, 44.802650
read_async_rdadvise 16 Kb, 56, 153.803190, 22.910086
read_async_rdadvise 24 Kb, 56, 168.699449, 47.532302
read_async_rdadvise 32 Kb, 56, 131.653126, 17.358342
read_async_rdadvise 40 Kb, 56, 168.297402, 30.541510
read_async_rdadvise 48 Kb, 56, 168.220576, 50.631351
read_async_rdadvise 56 Kb, 56, 157.163463, 47.304600
read_async_rdadvise 64 Kb, 56, 163.214177, 49.875397
read_async_rdadvise 256 Kb, 56, 146.359159, 40.999931
read_async_rdadvise 1024 Kb, 56, 140.094161, 31.166285
read_async_rdadvise 4096 Kb, 56, 152.140122, 59.036864
read_async_rdadvise 16384 Kb, 56, 155.201073, 43.795470
