Method, Mean (ms), Stddev (ms)
read_plain 4 Kb, 1008.846535, 99.027115
read_plain 16 Kb, 974.735469, 65.450531
read_plain 64 Kb, 961.372054, 94.368252
read_plain 256 Kb, 979.166738, 127.278333
read_plain 1024 Kb, 859.576457, 65.629033
read_plain 4096 Kb, 776.319595, 81.939902
read_plain 16384 Kb, 785.517926, 106.626798
read_plain 65536 Kb, 820.989564, 133.624278
read_plain 262144 Kb, 936.436894, 57.468688
read_nocache 4 Kb, 8881.307662, 1193.790721
read_nocache 16 Kb, 2991.304509, 118.641472
read_nocache 64 Kb, 1304.471413, 48.934109
read_nocache 256 Kb, 1497.891786, 65.995958
read_nocache 1024 Kb, 1047.041003, 157.030644
read_nocache 4096 Kb, 799.890266, 56.507918
read_nocache 16384 Kb, 729.767391, 73.124142
read_nocache 65536 Kb, 1007.495601, 44.624658
read_nocache 262144 Kb, 867.176085, 76.160402
read_readahead 4 Kb, 977.865346, 65.004656
read_readahead 16 Kb, 1015.873092, 54.812048
read_readahead 64 Kb, 979.363087, 59.522187
read_readahead 256 Kb, 972.506773, 88.842355
read_readahead 1024 Kb, 874.075953, 6.859237
read_readahead 4096 Kb, 774.980166, 84.212988
read_readahead 16384 Kb, 801.357991, 109.615133
read_readahead 65536 Kb, 735.295552, 53.888024
read_readahead 262144 Kb, 840.928309, 96.572105
read_rdadvise 4 Kb, 787.712017, 80.202322
read_rdadvise 16 Kb, 742.551235, 108.292247
read_rdadvise 64 Kb, 837.792380, 110.914568
read_rdadvise 256 Kb, 725.761788, 108.111088
read_rdadvise 1024 Kb, 809.268500, 71.060868
read_rdadvise 4096 Kb, 761.250198, 86.910642
read_rdadvise 16384 Kb, 726.121461, 61.540831
read_rdadvise 65536 Kb, 795.756298, 140.930887
read_rdadvise 262144 Kb, 836.343819, 81.048220
read_aio_nocache 4 Kb, 9103.940578, 105.017323
read_aio_nocache 16 Kb, 2899.149984, 66.527726
read_aio_nocache 64 Kb, 1267.914864, 50.473472
read_aio_nocache 256 Kb, 1371.889016, 160.185133
read_aio_nocache 1024 Kb, 915.958335, 150.040047
read_aio_nocache 4096 Kb, 683.580425, 76.748291
read_aio_nocache 16384 Kb, 739.478553, 125.916795
read_aio_nocache 65536 Kb, 696.029408, 112.434425
read_aio_nocache 262144 Kb, 824.350107, 81.413907
read_aio_rdahead 4 Kb, 1187.755431, 113.225908
read_aio_rdahead 16 Kb, 1055.002740, 104.797757
read_aio_rdahead 64 Kb, 982.696430, 89.398971
read_aio_rdahead 256 Kb, 891.599082, 68.128518
read_aio_rdahead 1024 Kb, 798.229821, 57.382354
read_aio_rdahead 4096 Kb, 724.994736, 100.237583
read_aio_rdahead 16384 Kb, 691.307515, 68.979685
read_aio_rdahead 65536 Kb, 757.612217, 92.420889
read_aio_rdahead 262144 Kb, 786.822658, 124.627678
read_aio_rdadvise 4 Kb, 1263.723541, 168.869170
read_aio_rdadvise 16 Kb, 816.544770, 139.866642
read_aio_rdadvise 64 Kb, 743.271858, 120.476264
read_aio_rdadvise 256 Kb, 800.067436, 146.450912
read_aio_rdadvise 1024 Kb, 669.582565, 76.368879
read_aio_rdadvise 4096 Kb, 680.408331, 72.441585
read_aio_rdadvise 16384 Kb, 729.157686, 69.253232
read_aio_rdadvise 65536 Kb, 722.116958, 155.924033
read_aio_rdadvise 262144 Kb, 853.303952, 114.876490
read_async_nocache 4 Kb, 4543.732871, 79.691709
read_async_nocache 16 Kb, 1719.713156, 105.777206
read_async_nocache 64 Kb, 990.817284, 219.982934
read_async_nocache 256 Kb, 1078.728048, 161.748459
read_async_nocache 1024 Kb, 789.045193, 157.564189
read_async_nocache 4096 Kb, 643.253623, 79.036164
read_async_nocache 16384 Kb, 744.068841, 139.533173
read_async_nocache 65536 Kb, 773.506017, 161.940688
read_async_nocache 262144 Kb, 933.278482, 24.555273
read_async_rdahead 4 Kb, 933.326383, 104.790614
read_async_rdahead 16 Kb, 976.132290, 95.871443
read_async_rdahead 64 Kb, 925.849376, 81.079829
read_async_rdahead 256 Kb, 887.552796, 93.169700
read_async_rdahead 1024 Kb, 824.020578, 108.567781
read_async_rdahead 4096 Kb, 729.082369, 56.589950
read_async_rdahead 16384 Kb, 700.422443, 61.295308
read_async_rdahead 65536 Kb, 742.471359, 116.879042
read_async_rdahead 262144 Kb, 809.249971, 113.929797
read_async_rdadvise 4 Kb, 712.060673, 82.920528
read_async_rdadvise 16 Kb, 697.323739, 91.928627
read_async_rdadvise 64 Kb, 854.750565, 82.696608
read_async_rdadvise 256 Kb, 784.337993, 122.086360
read_async_rdadvise 1024 Kb, 713.874800, 97.878054
read_async_rdadvise 4096 Kb, 705.975463, 92.422573
read_async_rdadvise 16384 Kb, 770.931407, 106.891246
read_async_rdadvise 65536 Kb, 713.070324, 124.521628
read_async_rdadvise 262144 Kb, 1021.964229, 96.006521
mmap_plain, 1827.501628, 181.467046
mmap_readahead, 2028.385143, 84.343078
mmap_rdadvise, 787.129863, 58.857239
