Method, File Size (KB), Mean (ms), Stddev (ms)
read_async_rdadvise 48 Kb, 112, 330.185654, 58.393057
read_async_rdadvise 56 Kb, 112, 328.522233, 70.391907
read_async_rdadvise 64 Kb, 112, 329.302022, 63.967681
read_async_rdadvise 256 Kb, 112, 273.031294, 18.648682
read_async_rdadvise 1024 Kb, 112, 307.432536, 60.149859
read_async_rdadvise 4096 Kb, 112, 299.249252, 42.954108
read_async_rdadvise 16384 Kb, 112, 338.274757, 73.149133
read_async_rdadvise 65536 Kb, 112, 328.092518, 46.988420
read_plain 4 Kb, 128, 448.407680, 42.369711
read_plain 8 Kb, 128, 446.908928, 33.571939
read_plain 12 Kb, 128, 464.581592, 55.269000
read_plain 16 Kb, 128, 423.914013, 51.500731
read_plain 24 Kb, 128, 430.687548, 4.571611
read_plain 32 Kb, 128, 448.838779, 36.651732
read_plain 40 Kb, 128, 426.883063, 29.553864
read_plain 48 Kb, 128, 430.767157, 7.775307
read_plain 56 Kb, 128, 543.410251, 66.432310
read_plain 64 Kb, 128, 472.887889, 51.571349
read_plain 256 Kb, 128, 471.820914, 51.944952
read_plain 1024 Kb, 128, 466.700388, 68.269675
read_plain 4096 Kb, 128, 372.356590, 50.890786
read_plain 16384 Kb, 128, 407.386230, 36.012789
read_plain 65536 Kb, 128, 446.590444, 76.785644
read_nocache 4 Kb, 128, 3837.477815, 105.232661
read_nocache 8 Kb, 128, 1964.011538, 38.157190
read_nocache 12 Kb, 128, 1462.351751, 33.270747
read_nocache 16 Kb, 128, 1219.582689, 36.903113
read_nocache 24 Kb, 128, 960.074023, 48.880932
read_nocache 32 Kb, 128, 861.809030, 65.314951
read_nocache 40 Kb, 128, 769.119148, 69.982791
read_nocache 48 Kb, 128, 681.687766, 60.475087
read_nocache 56 Kb, 128, 644.112571, 48.574114
read_nocache 64 Kb, 128, 612.783105, 76.658413
read_nocache 256 Kb, 128, 747.898795, 36.721711
read_nocache 1024 Kb, 128, 414.447190, 2.181875
read_nocache 4096 Kb, 128, 413.465001, 60.625706
read_nocache 16384 Kb, 128, 458.943003, 84.769674
read_nocache 65536 Kb, 128, 398.727772, 35.994803
read_readahead 4 Kb, 128, 496.623475, 55.776969
read_readahead 8 Kb, 128, 474.573371, 44.654601
read_readahead 12 Kb, 128, 502.322200, 79.255194
read_readahead 16 Kb, 128, 457.384856, 45.703352
read_readahead 24 Kb, 128, 452.273669, 33.821938
read_readahead 32 Kb, 128, 461.266495, 55.669702
read_readahead 40 Kb, 128, 439.871557, 26.697672
read_readahead 48 Kb, 128, 492.330715, 73.645962
read_readahead 56 Kb, 128, 448.284634, 37.523562
read_readahead 64 Kb, 128, 479.631385, 45.357259
read_readahead 256 Kb, 128, 466.420893, 56.301062
read_readahead 1024 Kb, 128, 421.404173, 64.093147
read_readahead 4096 Kb, 128, 406.616546, 56.970178
read_readahead 16384 Kb, 128, 415.724333, 43.563861
read_readahead 65536 Kb, 128, 415.700562, 40.634919
read_rdadvise 4 Kb, 128, 363.566014, 48.290176
read_rdadvise 8 Kb, 128, 350.207026, 41.750843
read_rdadvise 12 Kb, 128, 432.110331, 85.938160
read_rdadvise 16 Kb, 128, 341.756589, 40.297879
read_rdadvise 24 Kb, 128, 371.471017, 82.393424
read_rdadvise 32 Kb, 128, 388.953818, 80.927307
read_rdadvise 40 Kb, 128, 390.010044, 91.202135
read_rdadvise 48 Kb, 128, 341.436212, 28.326997
read_rdadvise 56 Kb, 128, 337.884916, 40.075244
read_rdadvise 64 Kb, 128, 376.147304, 100.136023
read_rdadvise 256 Kb, 128, 373.317428, 88.973543
read_rdadvise 1024 Kb, 128, 390.989407, 87.370199
read_rdadvise 4096 Kb, 128, 383.962892, 78.811816
read_rdadvise 16384 Kb, 128, 391.655164, 91.031659
read_rdadvise 65536 Kb, 128, 395.708208, 89.687326
read_async_nocache 4 Kb, 128, 2942.777650, 320.538847
read_async_nocache 8 Kb, 128, 1877.088682, 80.480777
read_async_nocache 12 Kb, 128, 1386.003160, 106.335308
read_async_nocache 16 Kb, 128, 1025.743307, 49.006740
read_async_nocache 24 Kb, 128, 782.316112, 52.250638
read_async_nocache 32 Kb, 128, 634.141997, 27.072921
read_async_nocache 40 Kb, 128, 614.871475, 68.542832
read_async_nocache 48 Kb, 128, 553.730191, 90.895621
read_async_nocache 56 Kb, 128, 470.564281, 42.105854
read_async_nocache 64 Kb, 128, 484.889263, 62.575695
read_async_nocache 256 Kb, 128, 594.571549, 53.992224
read_async_nocache 1024 Kb, 128, 367.664042, 54.760471
read_async_nocache 4096 Kb, 128, 371.858189, 103.473451
read_async_nocache 16384 Kb, 128, 365.185771, 86.175539
read_async_nocache 65536 Kb, 128, 539.030622, 91.181492
read_async_rdahead 4 Kb, 128, 457.591438, 101.979087
read_async_rdahead 8 Kb, 128, 451.525264, 47.101971
read_async_rdahead 12 Kb, 128, 494.765927, 80.473778
read_async_rdahead 16 Kb, 128, 435.808796, 48.564586
read_async_rdahead 24 Kb, 128, 449.289731, 49.574938
read_async_rdahead 32 Kb, 128, 442.344676, 71.121904
read_async_rdahead 40 Kb, 128, 438.048847, 55.350831
read_async_rdahead 48 Kb, 128, 450.324429, 49.505592
read_async_rdahead 56 Kb, 128, 446.115401, 50.306467
read_async_rdahead 64 Kb, 128, 464.162498, 72.500365
read_async_rdahead 256 Kb, 128, 464.244059, 70.582319
read_async_rdahead 1024 Kb, 128, 367.288237, 35.592593
read_async_rdahead 4096 Kb, 128, 336.888288, 51.395254
read_async_rdahead 16384 Kb, 128, 327.442680, 3.438779
read_async_rdahead 65536 Kb, 128, 511.741250, 82.641296
read_async_rdadvise 4 Kb, 128, 451.746751, 62.374076
read_async_rdadvise 8 Kb, 128, 362.190046, 67.993599
read_async_rdadvise 12 Kb, 128, 372.902694, 74.859250
read_async_rdadvise 16 Kb, 128, 387.733826, 61.455908
read_async_rdadvise 24 Kb, 128, 395.771024, 87.450729
read_async_rdadvise 32 Kb, 128, 384.447486, 38.658765
read_async_rdadvise 40 Kb, 128, 397.617478, 82.236189
read_async_rdadvise 48 Kb, 128, 394.499874, 87.165239
read_async_rdadvise 56 Kb, 128, 374.575306, 99.044683
read_async_rdadvise 64 Kb, 128, 355.901796, 74.307701
read_async_rdadvise 256 Kb, 128, 355.420207, 74.005902
read_async_rdadvise 1024 Kb, 128, 375.164877, 101.313588
read_async_rdadvise 4096 Kb, 128, 415.786351, 95.050060
read_async_rdadvise 16384 Kb, 128, 352.116801, 68.355772
read_async_rdadvise 65536 Kb, 128, 380.872460, 57.923207
read_plain 4 Kb, 16, 89.857965, 23.301018
read_plain 8 Kb, 16, 70.889042, 13.991190
read_plain 12 Kb, 16, 71.555393, 14.850544
read_plain 16 Kb, 16, 65.827047, 9.829299
read_plain 24 Kb, 16, 63.043112, 0.458872
read_plain 32 Kb, 16, 61.543535, 0.793192
read_plain 40 Kb, 16, 61.748406, 0.639636
read_plain 48 Kb, 16, 63.990917, 5.056015
read_plain 56 Kb, 16, 61.879954, 0.666240
read_plain 64 Kb, 16, 66.770285, 17.333813
read_plain 256 Kb, 16, 61.860713, 5.434716
read_plain 1024 Kb, 16, 52.523037, 0.863519
read_plain 4096 Kb, 16, 48.137394, 1.253708
read_plain 16384 Kb, 16, 60.860736, 13.928639
read_nocache 4 Kb, 16, 547.066919, 47.952360
read_nocache 8 Kb, 16, 311.125165, 19.432585
read_nocache 12 Kb, 16, 239.177113, 25.544224
read_nocache 16 Kb, 16, 202.106836, 21.142643
read_nocache 24 Kb, 16, 155.220939, 19.086740
read_nocache 32 Kb, 16, 117.835076, 4.336653
read_nocache 40 Kb, 16, 109.958007, 7.529030
read_nocache 48 Kb, 16, 110.888796, 12.365609
read_nocache 56 Kb, 16, 99.642180, 5.576126
