Method, File Size (KB), Mean (ms), Stddev (ms)
read_plain 4 Kb, 48, 186.396018, 45.889596
read_plain 8 Kb, 48, 170.710411, 32.616694
read_plain 12 Kb, 48, 169.589479, 13.527202
read_plain 16 Kb, 48, 166.426882, 2.835208
read_plain 24 Kb, 48, 164.983183, 2.330238
read_plain 32 Kb, 48, 163.933213, 4.467660
read_plain 40 Kb, 48, 163.894661, 1.542184
read_plain 48 Kb, 48, 165.130224, 1.603405
read_plain 56 Kb, 48, 199.576810, 45.612627
read_plain 64 Kb, 48, 181.625143, 11.369150
read_plain 256 Kb, 48, 171.499064, 2.607737
read_plain 1024 Kb, 48, 151.089768, 1.450665
read_plain 4096 Kb, 48, 152.194754, 31.344910
read_plain 16384 Kb, 48, 159.486981, 21.886169
read_nocache 4 Kb, 48, 1564.301764, 21.976469
read_nocache 8 Kb, 48, 845.691552, 4.600932
read_nocache 12 Kb, 48, 618.048938, 5.675180
read_nocache 16 Kb, 48, 461.352963, 14.034326
read_nocache 24 Kb, 48, 383.245120, 31.754951
read_nocache 32 Kb, 48, 350.183379, 34.351497
read_nocache 40 Kb, 48, 301.932666, 23.411821
read_nocache 48 Kb, 48, 274.863749, 31.256306
read_nocache 56 Kb, 48, 245.891305, 2.132702
read_nocache 64 Kb, 48, 268.826318, 67.381641
read_nocache 256 Kb, 48, 302.283692, 50.384246
read_nocache 1024 Kb, 48, 217.566021, 46.557662
read_nocache 4096 Kb, 48, 177.421905, 44.796537
read_nocache 16384 Kb, 48, 155.712030, 17.790718
read_readahead 4 Kb, 48, 166.884550, 3.204532
read_readahead 8 Kb, 48, 190.004571, 36.066828
read_readahead 12 Kb, 48, 180.984567, 1.643800
read_readahead 16 Kb, 48, 172.150803, 6.367842
read_readahead 24 Kb, 48, 167.686806, 2.256400
read_readahead 32 Kb, 48, 169.757449, 7.965871
read_readahead 40 Kb, 48, 163.153160, 2.724260
read_readahead 48 Kb, 48, 165.921116, 1.690336
read_readahead 56 Kb, 48, 173.222667, 21.892760
read_readahead 64 Kb, 48, 163.804264, 2.083636
read_readahead 256 Kb, 48, 156.896991, 2.101281
read_readahead 1024 Kb, 48, 144.308411, 17.014445
read_readahead 4096 Kb, 48, 153.211329, 34.927023
read_readahead 16384 Kb, 48, 154.827983, 21.312080
read_rdadvise 4 Kb, 48, 124.246084, 39.321202
read_rdadvise 8 Kb, 48, 117.860300, 32.724298
read_rdadvise 12 Kb, 48, 113.719305, 34.241744
read_rdadvise 16 Kb, 48, 110.497596, 17.490923
read_rdadvise 24 Kb, 48, 109.317218, 11.519030
read_rdadvise 32 Kb, 48, 126.607011, 33.381522
read_rdadvise 40 Kb, 48, 128.859054, 27.793594
read_rdadvise 48 Kb, 48, 115.148658, 20.322505
read_rdadvise 56 Kb, 48, 111.079426, 25.615499
read_rdadvise 64 Kb, 48, 110.309918, 24.610088
read_rdadvise 256 Kb, 48, 121.017754, 39.410141
read_rdadvise 1024 Kb, 48, 102.415675, 0.741373
read_rdadvise 4096 Kb, 48, 119.066793, 29.753185
read_rdadvise 16384 Kb, 48, 117.788683, 0.927135
read_async_nocache 4 Kb, 48, 1186.033327, 66.125996
read_async_nocache 8 Kb, 48, 714.103780, 48.727688
read_async_nocache 12 Kb, 48, 539.383361, 37.325393
read_async_nocache 16 Kb, 48, 405.616545, 8.255092
read_async_nocache 24 Kb, 48, 311.832932, 30.484850
read_async_nocache 32 Kb, 48, 259.662348, 28.601038
read_async_nocache 40 Kb, 48, 232.443030, 39.279802
read_async_nocache 48 Kb, 48, 209.899837, 39.478179
read_async_nocache 56 Kb, 48, 204.834135, 56.454301
read_async_nocache 64 Kb, 48, 178.688563, 30.380997
read_async_nocache 256 Kb, 48, 205.426919, 35.384112
read_async_nocache 1024 Kb, 48, 140.398805, 37.411031
read_async_nocache 4096 Kb, 48, 116.764955, 1.261549
read_async_nocache 16384 Kb, 48, 167.266313, 45.382330
read_async_rdahead 4 Kb, 48, 162.090846, 19.957011
read_async_rdahead 8 Kb, 48, 157.876422, 5.290502
read_async_rdahead 12 Kb, 48, 165.167193, 23.313362
read_async_rdahead 16 Kb, 48, 167.108413, 22.570098
read_async_rdahead 24 Kb, 48, 154.152741, 2.977556
read_async_rdahead 32 Kb, 48, 167.180021, 37.540656
read_async_rdahead 40 Kb, 48, 152.362350, 2.668138
read_async_rdahead 48 Kb, 48, 151.766523, 2.877015
read_async_rdahead 56 Kb, 48, 153.456950, 3.089110
read_async_rdahead 64 Kb, 48, 150.568763, 2.375742
read_async_rdahead 256 Kb, 48, 155.426062, 27.032476
read_async_rdahead 1024 Kb, 48, 134.769839, 2.482885
read_async_rdahead 4096 Kb, 48, 123.663509, 8.551217
read_async_rdahead 16384 Kb, 48, 160.505422, 40.245640
read_async_rdadvise 4 Kb, 48, 113.632366, 18.223614
read_async_rdadvise 8 Kb, 48, 132.843268, 35.166989
read_async_rdadvise 12 Kb, 48, 127.044225, 25.285153
read_async_rdadvise 16 Kb, 48, 118.729521, 20.415489
read_async_rdadvise 24 Kb, 48, 117.122218, 19.662183
read_async_rdadvise 32 Kb, 48, 130.375676, 23.837184
read_async_rdadvise 40 Kb, 48, 137.174222, 41.339553
read_async_rdadvise 48 Kb, 48, 131.290625, 24.941350
read_async_rdadvise 56 Kb, 48, 124.500570, 30.573241
read_async_rdadvise 64 Kb, 48, 137.457869, 36.875126
read_async_rdadvise 256 Kb, 48, 118.553340, 33.826838
read_async_rdadvise 1024 Kb, 48, 102.364424, 0.474573
read_async_rdadvise 4096 Kb, 48, 122.602106, 29.536070
read_async_rdadvise 16384 Kb, 48, 129.525314, 20.932637
