Method, File Size (KB), Mean (ms), Stddev (ms)
read_plain 4 Kb, 96, 336.814600, 16.683559
read_plain 8 Kb, 96, 338.509128, 32.956207
read_plain 12 Kb, 96, 330.570392, 21.504915
read_plain 16 Kb, 96, 330.341714, 20.126696
read_plain 24 Kb, 96, 325.346538, 4.588515
read_plain 32 Kb, 96, 350.825619, 36.494936
read_plain 40 Kb, 96, 324.111925, 3.798092
read_plain 48 Kb, 96, 326.707804, 6.081196
read_plain 56 Kb, 96, 341.743481, 15.914900
read_plain 64 Kb, 96, 379.311165, 85.695768
read_plain 256 Kb, 96, 386.536144, 90.113832
read_plain 1024 Kb, 96, 321.246479, 42.325960
read_plain 4096 Kb, 96, 269.731318, 14.302892
read_plain 16384 Kb, 96, 294.825800, 3.010292
read_plain 65536 Kb, 96, 309.083166, 10.605813
read_nocache 4 Kb, 96, 2990.636773, 56.948714
read_nocache 8 Kb, 96, 1575.583196, 21.816595
read_nocache 12 Kb, 96, 1139.050499, 23.684121
read_nocache 16 Kb, 96, 914.319263, 18.156191
read_nocache 24 Kb, 96, 710.645186, 17.702811
read_nocache 32 Kb, 96, 610.252262, 40.308635
read_nocache 40 Kb, 96, 545.453631, 36.379696
read_nocache 48 Kb, 96, 551.882107, 86.456998
read_nocache 56 Kb, 96, 458.208181, 14.139191
read_nocache 64 Kb, 96, 433.969143, 24.011323
read_nocache 256 Kb, 96, 538.268326, 24.340278
read_nocache 1024 Kb, 96, 357.832961, 52.002265
read_nocache 4096 Kb, 96, 364.843348, 66.073518
read_nocache 16384 Kb, 96, 320.775839, 75.756449
read_nocache 65536 Kb, 96, 337.171126, 78.754737
read_readahead 4 Kb, 96, 357.658476, 44.703373
read_readahead 8 Kb, 96, 321.644429, 3.108958
read_readahead 12 Kb, 96, 382.417411, 67.816671
read_readahead 16 Kb, 96, 328.173077, 18.169918
read_readahead 24 Kb, 96, 364.771382, 39.586294
read_readahead 32 Kb, 96, 336.060769, 13.174510
read_readahead 40 Kb, 96, 336.242081, 44.121607
read_readahead 48 Kb, 96, 345.482537, 39.646323
read_readahead 56 Kb, 96, 347.664731, 41.567507
read_readahead 64 Kb, 96, 372.209956, 52.171151
read_readahead 256 Kb, 96, 358.227628, 53.408007
read_readahead 1024 Kb, 96, 323.616984, 52.545862
read_readahead 4096 Kb, 96, 274.955337, 29.027948
read_readahead 16384 Kb, 96, 315.308531, 42.475132
read_readahead 65536 Kb, 96, 310.510838, 29.938187
read_rdadvise 4 Kb, 96, 254.939498, 15.126050
read_rdadvise 8 Kb, 96, 296.993641, 72.508983
read_rdadvise 12 Kb, 96, 277.118971, 71.107780
read_rdadvise 16 Kb, 96, 249.857859, 43.887062
read_rdadvise 24 Kb, 96, 267.810537, 55.052642
read_rdadvise 32 Kb, 96, 255.128782, 41.799888
read_rdadvise 40 Kb, 96, 273.863839, 47.546415
read_rdadvise 48 Kb, 96, 250.183740, 46.465865
read_rdadvise 56 Kb, 96, 257.275024, 73.210890
read_rdadvise 64 Kb, 96, 263.173495, 56.130034
read_rdadvise 256 Kb, 96, 269.372303, 65.647489
read_rdadvise 1024 Kb, 96, 248.391470, 38.843318
read_rdadvise 4096 Kb, 96, 272.131210, 32.680522
read_rdadvise 16384 Kb, 96, 248.347193, 41.964938
read_rdadvise 65536 Kb, 96, 287.793508, 63.677702
read_async_nocache 4 Kb, 96, 2549.607948, 426.595677
read_async_nocache 8 Kb, 96, 1232.470002, 45.671968
read_async_nocache 12 Kb, 96, 920.152037, 18.431304
read_async_nocache 16 Kb, 96, 715.640262, 38.551476
read_async_nocache 24 Kb, 96, 561.586215, 31.279507
read_async_nocache 32 Kb, 96, 506.113517, 83.845683
read_async_nocache 40 Kb, 96, 446.786231, 64.875273
read_async_nocache 48 Kb, 96, 440.670917, 59.161923
read_async_nocache 56 Kb, 96, 373.552989, 89.338925
read_async_nocache 64 Kb, 96, 355.428595, 56.925637
read_async_nocache 256 Kb, 96, 432.134250, 42.720178
read_async_nocache 1024 Kb, 96, 278.706487, 48.869130
read_async_nocache 4096 Kb, 96, 278.905844, 75.776923
read_async_nocache 16384 Kb, 96, 272.728383, 44.113749
read_async_nocache 65536 Kb, 96, 400.072590, 75.405519
read_async_rdahead 4 Kb, 96, 360.402611, 76.059602
read_async_rdahead 8 Kb, 96, 356.362836, 57.170177
read_async_rdahead 12 Kb, 96, 339.701080, 43.957330
read_async_rdahead 16 Kb, 96, 316.298755, 34.142910
read_async_rdahead 24 Kb, 96, 346.182461, 50.159715
read_async_rdahead 32 Kb, 96, 319.847981, 22.068689
read_async_rdahead 40 Kb, 96, 343.320229, 57.772445
read_async_rdahead 48 Kb, 96, 315.279376, 34.738090
read_async_rdahead 56 Kb, 96, 314.121741, 29.252620
read_async_rdahead 64 Kb, 96, 322.813132, 40.076387
read_async_rdahead 256 Kb, 96, 308.514794, 43.784017
read_async_rdahead 1024 Kb, 96, 283.346467, 34.429136
read_async_rdahead 4096 Kb, 96, 249.264325, 47.861729
read_async_rdahead 16384 Kb, 96, 287.797479, 53.302156
read_async_rdahead 65536 Kb, 96, 320.587707, 37.934253
read_async_rdadvise 4 Kb, 96, 264.139513, 20.109283
read_async_rdadvise 8 Kb, 96, 275.551221, 38.743833
read_async_rdadvise 12 Kb, 96, 300.099236, 64.056203
read_async_rdadvise 16 Kb, 96, 267.736667, 59.675362
read_async_rdadvise 24 Kb, 96, 300.483941, 58.878568
read_async_rdadvise 32 Kb, 96, 282.624160, 59.984407
read_async_rdadvise 40 Kb, 96, 270.012340, 67.985616
read_async_rdadvise 48 Kb, 96, 307.299388, 96.162873
read_async_rdadvise 56 Kb, 96, 280.979027, 73.774429
read_async_rdadvise 64 Kb, 96, 235.637747, 32.301127
read_async_rdadvise 256 Kb, 96, 228.897419, 59.525248
read_async_rdadvise 1024 Kb, 96, 233.540301, 54.848029
read_async_rdadvise 4096 Kb, 96, 226.735865, 21.899205
read_async_rdadvise 16384 Kb, 96, 269.624205, 81.526584
read_async_rdadvise 65536 Kb, 96, 304.601950, 66.742606
