Method, File Size (KB), Mean (ms), Stddev (ms)
read_plain 4 Kb, 24, 91.565083, 1.082610
read_plain 8 Kb, 24, 96.718697, 16.617928
read_plain 12 Kb, 24, 96.821427, 15.183574
read_plain 16 Kb, 24, 114.076482, 29.065951
read_plain 24 Kb, 24, 105.369384, 28.071789
read_plain 32 Kb, 24, 125.731209, 38.905741
read_plain 40 Kb, 24, 109.422516, 30.158312
read_plain 48 Kb, 24, 114.800478, 30.016565
read_plain 56 Kb, 24, 105.643881, 29.451309
read_plain 64 Kb, 24, 116.882766, 32.278321
read_plain 256 Kb, 24, 107.795634, 30.443293
read_plain 1024 Kb, 24, 87.192220, 20.450225
read_plain 4096 Kb, 24, 78.170954, 17.735352
read_plain 16384 Kb, 24, 78.093494, 2.280650
read_nocache 4 Kb, 24, 776.966209, 13.901948
read_nocache 8 Kb, 24, 451.981487, 34.758929
read_nocache 12 Kb, 24, 342.268327, 18.657819
read_nocache 16 Kb, 24, 288.711374, 19.617461
read_nocache 24 Kb, 24, 226.538672, 20.927058
read_nocache 32 Kb, 24, 200.299216, 37.217472
read_nocache 40 Kb, 24, 161.741587, 11.413382
read_nocache 48 Kb, 24, 151.647863, 17.446307
read_nocache 56 Kb, 24, 142.500496, 11.509108
read_nocache 64 Kb, 24, 137.478876, 12.161482
read_nocache 256 Kb, 24, 145.786726, 15.952847
read_nocache 1024 Kb, 24, 81.849799, 0.780937
read_nocache 4096 Kb, 24, 78.297983, 18.829765
read_nocache 16384 Kb, 24, 73.681500, 1.503759
read_readahead 4 Kb, 24, 91.266124, 1.255009
read_readahead 8 Kb, 24, 90.431517, 0.822425
read_readahead 12 Kb, 24, 91.897027, 0.527163
read_readahead 16 Kb, 24, 100.594128, 24.157767
read_readahead 24 Kb, 24, 93.611247, 7.359428
read_readahead 32 Kb, 24, 89.970472, 0.572351
read_readahead 40 Kb, 24, 89.866263, 0.995793
read_readahead 48 Kb, 24, 92.065433, 0.923363
read_readahead 56 Kb, 24, 90.489138, 0.803058
read_readahead 64 Kb, 24, 96.187997, 17.379939
read_readahead 256 Kb, 24, 93.727129, 18.874697
read_readahead 1024 Kb, 24, 77.865912, 0.547293
read_readahead 4096 Kb, 24, 82.157339, 24.673597
read_readahead 16384 Kb, 24, 79.601933, 6.594287
read_rdadvise 4 Kb, 24, 59.761792, 12.491845
read_rdadvise 8 Kb, 24, 53.071633, 0.643130
read_rdadvise 12 Kb, 24, 60.518874, 12.767134
read_rdadvise 16 Kb, 24, 53.137404, 0.709233
read_rdadvise 24 Kb, 24, 59.323368, 18.458554
read_rdadvise 32 Kb, 24, 58.258633, 15.665274
read_rdadvise 40 Kb, 24, 63.732077, 22.478291
read_rdadvise 48 Kb, 24, 63.834913, 18.267044
read_rdadvise 56 Kb, 24, 60.325818, 17.574227
read_rdadvise 64 Kb, 24, 52.811333, 0.512963
read_rdadvise 256 Kb, 24, 60.070762, 17.318647
read_rdadvise 1024 Kb, 24, 53.316005, 0.664153
read_rdadvise 4096 Kb, 24, 55.009454, 0.846498
read_rdadvise 16384 Kb, 24, 66.663056, 12.653157
read_async_nocache 4 Kb, 24, 433.293735, 13.627851
read_async_nocache 8 Kb, 24, 257.761968, 19.080066
read_async_nocache 12 Kb, 24, 203.210935, 20.498251
read_async_nocache 16 Kb, 24, 173.648570, 20.102261
read_async_nocache 24 Kb, 24, 145.453954, 21.002465
read_async_nocache 32 Kb, 24, 117.019140, 15.446015
read_async_nocache 40 Kb, 24, 105.286491, 6.738556
read_async_nocache 48 Kb, 24, 102.440135, 12.933179
read_async_nocache 56 Kb, 24, 100.402052, 9.601338
read_async_nocache 64 Kb, 24, 100.546821, 11.903345
read_async_nocache 256 Kb, 24, 114.081972, 1.670253
read_async_nocache 1024 Kb, 24, 74.831749, 27.156535
read_async_nocache 4096 Kb, 24, 60.662412, 0.927243
read_async_nocache 16384 Kb, 24, 76.188311, 1.319874
read_async_rdahead 4 Kb, 24, 83.836079, 0.385065
read_async_rdahead 8 Kb, 24, 86.661845, 9.299295
read_async_rdahead 12 Kb, 24, 84.945185, 0.859302
read_async_rdahead 16 Kb, 24, 84.317369, 1.051812
read_async_rdahead 24 Kb, 24, 93.328876, 25.953383
read_async_rdahead 32 Kb, 24, 92.175528, 27.024869
read_async_rdahead 40 Kb, 24, 83.971695, 0.383060
read_async_rdahead 48 Kb, 24, 82.667584, 1.425962
read_async_rdahead 56 Kb, 24, 83.015019, 0.653953
read_async_rdahead 64 Kb, 24, 82.359830, 0.768610
read_async_rdahead 256 Kb, 24, 87.318713, 16.418927
read_async_rdahead 1024 Kb, 24, 75.707541, 0.517678
read_async_rdahead 4096 Kb, 24, 73.661970, 22.902328
read_async_rdahead 16384 Kb, 24, 78.221233, 8.672400
read_async_rdadvise 4 Kb, 24, 66.134563, 13.181884
