Method, Mean (ms), Stddev (ms)
write_preallocate_truncate_nocache 4 Kb, 425.964049, 4.560483
write_preallocate_truncate_nocache 8 Kb, 369.913094, 5.064106
write_preallocate_truncate_nocache 12 Kb, 352.600281, 7.446317
write_preallocate_truncate_nocache 16 Kb, 741.160614, 14.320516
write_preallocate_truncate_nocache 24 Kb, 621.361901, 1.069616
write_preallocate_truncate_nocache 32 Kb, 557.601424, 1.310864
write_preallocate_truncate_nocache 40 Kb, 516.379880, 16.957779
write_preallocate_truncate_nocache 48 Kb, 500.652112, 12.003867
write_preallocate_truncate_nocache 56 Kb, 491.919873, 10.802649
write_preallocate_truncate_nocache 64 Kb, 481.205237, 5.023280
write_preallocate_truncate_nocache 256 Kb, 425.959625, 2.110064
write_preallocate_truncate_nocache 1024 Kb, 398.951204, 6.349253
write_preallocate_truncate_nocache 4096 Kb, 381.477573, 5.982006
write_preallocate_truncate_nocache 16384 Kb, 454.540061, 2.410303
async_write_preallocate_truncate_nocache 4 Kb, 361.077678, 9.389510
async_write_preallocate_truncate_nocache 8 Kb, 329.936731, 7.386197
async_write_preallocate_truncate_nocache 12 Kb, 316.022339, 1.794455
async_write_preallocate_truncate_nocache 16 Kb, 298.972486, 8.958120
async_write_preallocate_truncate_nocache 24 Kb, 290.269669, 0.479350
async_write_preallocate_truncate_nocache 32 Kb, 287.173443, 0.072451
async_write_preallocate_truncate_nocache 40 Kb, 285.845632, 0.567826
async_write_preallocate_truncate_nocache 48 Kb, 284.980617, 0.809921
async_write_preallocate_truncate_nocache 56 Kb, 284.849933, 1.562634
async_write_preallocate_truncate_nocache 64 Kb, 283.364064, 0.165096
async_write_preallocate_truncate_nocache 256 Kb, 281.134259, 6.952229
async_write_preallocate_truncate_nocache 1024 Kb, 277.640595, 1.945725
async_write_preallocate_truncate_nocache 4096 Kb, 287.127859, 3.434449
async_write_preallocate_truncate_nocache 16384 Kb, 304.495344, 2.089407
