Method, Mean (ms), Stddev (ms)
write_preallocate_truncate_nocache 4 Kb, 826.893770, 14.200687
write_preallocate_truncate_nocache 8 Kb, 710.370117, 15.556428
write_preallocate_truncate_nocache 12 Kb, 675.332025, 5.736927
write_preallocate_truncate_nocache 16 Kb, 1495.921546, 17.333863
write_preallocate_truncate_nocache 24 Kb, 1223.882790, 27.578847
write_preallocate_truncate_nocache 32 Kb, 1128.386948, 1.572273
write_preallocate_truncate_nocache 40 Kb, 1035.883567, 30.429216
write_preallocate_truncate_nocache 48 Kb, 1005.154527, 22.921500
write_preallocate_truncate_nocache 56 Kb, 994.092441, 19.208800
write_preallocate_truncate_nocache 64 Kb, 958.923397, 5.150475
write_preallocate_truncate_nocache 256 Kb, 847.361907, 8.965912
write_preallocate_truncate_nocache 1024 Kb, 784.467859, 6.736472
write_preallocate_truncate_nocache 4096 Kb, 756.796892, 10.183782
write_preallocate_truncate_nocache 16384 Kb, 754.848051, 2.450752
write_preallocate_truncate_nocache 65536 Kb, 1218.594693, 7.447111
async_write_preallocate_truncate_nocache 4 Kb, 700.163965, 8.031878
async_write_preallocate_truncate_nocache 8 Kb, 633.787803, 2.614190
async_write_preallocate_truncate_nocache 12 Kb, 613.869407, 7.619264
async_write_preallocate_truncate_nocache 16 Kb, 595.961282, 8.248139
async_write_preallocate_truncate_nocache 24 Kb, 582.333517, 7.242575
async_write_preallocate_truncate_nocache 32 Kb, 574.687590, 1.329302
async_write_preallocate_truncate_nocache 40 Kb, 573.323313, 4.965709
async_write_preallocate_truncate_nocache 48 Kb, 571.885657, 7.591883
async_write_preallocate_truncate_nocache 56 Kb, 568.370737, 2.745475
async_write_preallocate_truncate_nocache 64 Kb, 566.620257, 0.903069
async_write_preallocate_truncate_nocache 256 Kb, 556.610242, 1.279882
async_write_preallocate_truncate_nocache 1024 Kb, 551.840989, 4.875205
async_write_preallocate_truncate_nocache 4096 Kb, 559.221088, 2.389751
async_write_preallocate_truncate_nocache 16384 Kb, 596.883731, 3.465840
async_write_preallocate_truncate_nocache 65536 Kb, 660.543719, 21.913527
