Method, Mean (ms), Stddev (ms)
write_preallocate_truncate_nocache 4 Kb, 262.443417, 4.034624
write_preallocate_truncate_nocache 8 Kb, 228.831277, 5.910140
write_preallocate_truncate_nocache 12 Kb, 215.291424, 4.241792
write_preallocate_truncate_nocache 16 Kb, 444.290782, 22.092869
write_preallocate_truncate_nocache 24 Kb, 357.059894, 1.410052
write_preallocate_truncate_nocache 32 Kb, 317.076419, 0.625678
write_preallocate_truncate_nocache 40 Kb, 297.162250, 1.028770
write_preallocate_truncate_nocache 48 Kb, 295.734682, 2.774418
write_preallocate_truncate_nocache 56 Kb, 286.825099, 2.965055
write_preallocate_truncate_nocache 64 Kb, 276.497313, 2.319087
write_preallocate_truncate_nocache 256 Kb, 250.731277, 1.915282
write_preallocate_truncate_nocache 1024 Kb, 233.556674, 2.546366
write_preallocate_truncate_nocache 4096 Kb, 225.875322, 3.263243
write_preallocate_truncate_nocache 16384 Kb, 303.855874, 1.601528
async_write_preallocate_truncate_nocache 4 Kb, 223.638442, 9.016582
async_write_preallocate_truncate_nocache 8 Kb, 205.192905, 3.257371
async_write_preallocate_truncate_nocache 12 Kb, 198.513571, 1.529335
async_write_preallocate_truncate_nocache 16 Kb, 179.693965, 6.051394
async_write_preallocate_truncate_nocache 24 Kb, 174.199137, 0.083756
async_write_preallocate_truncate_nocache 32 Kb, 172.597565, 0.103729
async_write_preallocate_truncate_nocache 40 Kb, 172.488418, 1.441847
async_write_preallocate_truncate_nocache 48 Kb, 171.143024, 0.488116
async_write_preallocate_truncate_nocache 56 Kb, 170.935367, 0.983660
async_write_preallocate_truncate_nocache 64 Kb, 170.211823, 0.092009
async_write_preallocate_truncate_nocache 256 Kb, 167.949527, 0.635190
async_write_preallocate_truncate_nocache 1024 Kb, 168.120334, 1.480613
async_write_preallocate_truncate_nocache 4096 Kb, 177.140195, 2.018461
async_write_preallocate_truncate_nocache 16384 Kb, 190.063383, 3.091553
