Method, Mean (ms), Stddev (ms)
read_plain 4 Kb, 87.565042, 31.433787
read_plain 16 Kb, 61.732499, 0.784023
read_plain 64 Kb, 62.646675, 0.739289
read_plain 256 Kb, 71.686562, 24.333109
read_plain 1024 Kb, 52.927006, 0.696466
read_plain 4096 Kb, 48.848806, 0.738534
read_plain 16384 Kb, 72.419218, 21.022722
read_nocache 4 Kb, 564.118430, 37.622262
read_nocache 16 Kb, 237.108080, 10.526155
read_nocache 64 Kb, 152.070196, 33.043786
read_nocache 256 Kb, 107.956087, 13.202775
read_nocache 1024 Kb, 56.070143, 0.961033
read_nocache 4096 Kb, 58.676075, 18.074255
read_nocache 16384 Kb, 66.454725, 20.312272
read_readahead 4 Kb, 67.616518, 7.824510
read_readahead 16 Kb, 62.723343, 0.733608
read_readahead 64 Kb, 71.307424, 12.412619
read_readahead 256 Kb, 58.965458, 0.885267
read_readahead 1024 Kb, 52.413268, 0.645199
read_readahead 4096 Kb, 49.817543, 1.502192
read_readahead 16384 Kb, 53.029229, 1.976504
read_rdadvise 4 Kb, 56.571029, 16.592130
read_rdadvise 16 Kb, 52.349500, 18.275273
read_rdadvise 64 Kb, 36.451447, 0.997718
read_rdadvise 256 Kb, 36.598669, 0.809984
read_rdadvise 1024 Kb, 60.371443, 19.370544
read_rdadvise 4096 Kb, 38.242756, 0.658752
read_rdadvise 16384 Kb, 46.797143, 0.936661
read_aio_nocache 4 Kb, 590.108863, 45.702838
read_aio_nocache 16 Kb, 224.294870, 10.171165
read_aio_nocache 64 Kb, 111.955358, 4.896760
read_aio_nocache 256 Kb, 121.434282, 31.408226
read_aio_nocache 1024 Kb, 49.928976, 0.578166
read_aio_nocache 4096 Kb, 58.803335, 21.027821
read_aio_nocache 16384 Kb, 51.942494, 1.545099
read_aio_rdahead 4 Kb, 83.662275, 9.996414
read_aio_rdahead 16 Kb, 62.567173, 1.609373
read_aio_rdahead 64 Kb, 73.978430, 26.024963
read_aio_rdahead 256 Kb, 58.222343, 1.237080
read_aio_rdahead 1024 Kb, 51.890311, 0.575048
read_aio_rdahead 4096 Kb, 45.284702, 1.474920
read_aio_rdahead 16384 Kb, 53.138967, 2.320813
read_aio_rdadvise 4 Kb, 48.400517, 1.551879
read_aio_rdadvise 16 Kb, 37.720398, 1.368132
read_aio_rdadvise 64 Kb, 44.737732, 16.685216
read_aio_rdadvise 256 Kb, 43.992381, 14.953492
read_aio_rdadvise 1024 Kb, 37.381227, 1.000175
read_aio_rdadvise 4096 Kb, 40.109601, 1.071523
read_aio_rdadvise 16384 Kb, 50.464604, 5.765475
read_async_nocache 4 Kb, 325.303751, 10.323070
read_async_nocache 16 Kb, 149.553944, 10.505248
read_async_nocache 64 Kb, 123.538676, 31.932189
read_async_nocache 256 Kb, 91.548032, 31.070598
read_async_nocache 1024 Kb, 44.194762, 1.356906
read_async_nocache 4096 Kb, 42.836517, 0.745160
read_async_nocache 16384 Kb, 75.382591, 18.980474
read_async_rdahead 4 Kb, 57.904339, 0.715929
read_async_rdahead 16 Kb, 69.695703, 19.704346
read_async_rdahead 64 Kb, 77.742264, 38.778694
read_async_rdahead 256 Kb, 69.672767, 25.654855
read_async_rdahead 1024 Kb, 51.778358, 0.707103
read_async_rdahead 4096 Kb, 64.575571, 16.015437
read_async_rdahead 16384 Kb, 54.480417, 2.036385
read_async_rdadvise 4 Kb, 39.209834, 3.918032
read_async_rdadvise 16 Kb, 48.672906, 14.987826
read_async_rdadvise 64 Kb, 36.188807, 0.494351
read_async_rdadvise 256 Kb, 37.217512, 1.249086
read_async_rdadvise 1024 Kb, 37.786907, 2.063426
read_async_rdadvise 4096 Kb, 52.741505, 16.562048
read_async_rdadvise 16384 Kb, 47.102282, 0.774745
mmap_plain, 121.786157, 0.797269
mmap_readahead, 126.569167, 18.675619
mmap_rdadvise, 50.413750, 1.181783
