Method, Mean (ms), Stddev (ms)
read_plain 4 Kb, 489.631811, 51.868439
read_plain 16 Kb, 485.327201, 43.738558
read_plain 64 Kb, 459.618424, 3.485918
read_plain 256 Kb, 475.673632, 45.276414
read_plain 1024 Kb, 465.138620, 54.765244
read_plain 4096 Kb, 362.111791, 31.861587
read_plain 16384 Kb, 457.666871, 65.831536
read_plain 65536 Kb, 442.085312, 57.813971
read_nocache 4 Kb, 4077.043322, 29.998519
read_nocache 16 Kb, 1478.116291, 46.241388
read_nocache 64 Kb, 713.725577, 56.368305
read_nocache 256 Kb, 772.346268, 50.084284
read_nocache 1024 Kb, 462.616311, 60.800073
read_nocache 4096 Kb, 430.547047, 76.619542
read_nocache 16384 Kb, 374.787650, 32.394365
read_nocache 65536 Kb, 469.139542, 46.451203
read_readahead 4 Kb, 529.045663, 77.381075
read_readahead 16 Kb, 517.781473, 69.837524
read_readahead 64 Kb, 470.389815, 20.910317
read_readahead 256 Kb, 498.936631, 45.063398
read_readahead 1024 Kb, 420.786210, 49.591568
read_readahead 4096 Kb, 385.340193, 54.051550
read_readahead 16384 Kb, 449.588566, 61.815429
read_readahead 65536 Kb, 452.697369, 110.545866
read_rdadvise 4 Kb, 361.217206, 61.116094
read_rdadvise 16 Kb, 379.747450, 58.277655
read_rdadvise 64 Kb, 424.426606, 113.604995
read_rdadvise 256 Kb, 341.845754, 47.197853
read_rdadvise 1024 Kb, 372.070935, 72.677517
read_rdadvise 4096 Kb, 357.993393, 53.655245
read_rdadvise 16384 Kb, 388.035475, 87.636248
read_rdadvise 65536 Kb, 397.866160, 69.715519
read_aio_nocache 4 Kb, 4508.182298, 113.640925
read_aio_nocache 16 Kb, 1486.571037, 30.655018
read_aio_nocache 64 Kb, 641.841111, 60.885900
read_aio_nocache 256 Kb, 621.176143, 16.271968
read_aio_nocache 1024 Kb, 433.634630, 70.714337
read_aio_nocache 4096 Kb, 373.334606, 68.458604
read_aio_nocache 16384 Kb, 346.725880, 67.652934
read_aio_nocache 65536 Kb, 397.051889, 57.574135
read_aio_rdahead 4 Kb, 561.943747, 14.929526
read_aio_rdahead 16 Kb, 541.984897, 55.956982
read_aio_rdahead 64 Kb, 529.085104, 60.288294
read_aio_rdahead 256 Kb, 451.157984, 33.973963
read_aio_rdahead 1024 Kb, 417.168587, 45.685742
read_aio_rdahead 4096 Kb, 428.388265, 53.895335
read_aio_rdahead 16384 Kb, 335.678674, 15.075022
read_aio_rdahead 65536 Kb, 388.725679, 53.717150
read_aio_rdadvise 4 Kb, 600.689477, 61.169612
read_aio_rdadvise 16 Kb, 422.992022, 76.169524
read_aio_rdadvise 64 Kb, 345.234034, 74.325023
read_aio_rdadvise 256 Kb, 354.132639, 59.511927
read_aio_rdadvise 1024 Kb, 378.412666, 68.361350
read_aio_rdadvise 4096 Kb, 390.939390, 78.622523
read_aio_rdadvise 16384 Kb, 394.906422, 79.259464
read_aio_rdadvise 65536 Kb, 386.934706, 44.624197
read_async_nocache 4 Kb, 2276.907285, 57.571928
read_async_nocache 16 Kb, 899.687260, 111.678387
read_async_nocache 64 Kb, 506.602829, 65.280615
read_async_nocache 256 Kb, 610.619412, 52.138219
read_async_nocache 1024 Kb, 401.431592, 77.349589
read_async_nocache 4096 Kb, 367.826651, 87.973411
read_async_nocache 16384 Kb, 332.926689, 61.805854
read_async_nocache 65536 Kb, 434.392649, 65.468988
read_async_rdahead 4 Kb, 454.492501, 54.501373
read_async_rdahead 16 Kb, 447.625813, 56.845822
read_async_rdahead 64 Kb, 420.013664, 69.707595
read_async_rdahead 256 Kb, 385.184104, 6.325704
read_async_rdahead 1024 Kb, 435.627965, 52.071435
read_async_rdahead 4096 Kb, 391.799122, 65.014353
read_async_rdahead 16384 Kb, 317.986478, 2.345881
read_async_rdahead 65536 Kb, 387.756801, 59.781977
read_async_rdadvise 4 Kb, 316.039044, 26.054518
read_async_rdadvise 16 Kb, 319.168964, 26.280714
read_async_rdadvise 64 Kb, 366.915383, 123.416593
read_async_rdadvise 256 Kb, 369.171267, 64.100382
read_async_rdadvise 1024 Kb, 362.411158, 86.556809
read_async_rdadvise 4096 Kb, 292.948999, 1.448314
read_async_rdadvise 16384 Kb, 357.812430, 55.890440
read_async_rdadvise 65536 Kb, 392.826511, 82.372626
mmap_plain, 971.014861, 35.500146
mmap_readahead, 991.744737, 99.787447
mmap_rdadvise, 427.930250, 49.095129
