Method, Mean (ms), Stddev (ms)
read_plain 4 Kb, 47.671359, 18.760168
read_plain 16 Kb, 33.129926, 0.610140
read_plain 64 Kb, 39.569298, 12.656482
read_plain 256 Kb, 32.889339, 0.647803
read_plain 1024 Kb, 35.199767, 13.690355
read_plain 4096 Kb, 27.331523, 0.826633
read_nocache 4 Kb, 279.081585, 9.790381
read_nocache 16 Kb, 137.574274, 7.687383
read_nocache 64 Kb, 79.168895, 13.933188
read_nocache 256 Kb, 51.188378, 0.705916
read_nocache 1024 Kb, 28.733102, 0.563741
read_nocache 4096 Kb, 35.842673, 11.676510
read_readahead 4 Kb, 33.968634, 1.042364
read_readahead 16 Kb, 33.700652, 0.560668
read_readahead 64 Kb, 31.822357, 1.424157
read_readahead 256 Kb, 32.026617, 0.830461
read_readahead 1024 Kb, 28.553820, 0.360665
read_readahead 4096 Kb, 27.612598, 1.229608
read_rdadvise 4 Kb, 24.839698, 9.054917
read_rdadvise 16 Kb, 20.223118, 0.846372
read_rdadvise 64 Kb, 20.291831, 0.510655
read_rdadvise 256 Kb, 20.244376, 0.745216
read_rdadvise 1024 Kb, 20.751843, 0.484221
read_rdadvise 4096 Kb, 31.802946, 12.570032
read_aio_nocache 4 Kb, 317.372473, 5.025590
read_aio_nocache 16 Kb, 135.015255, 6.937030
read_aio_nocache 64 Kb, 67.065979, 2.297855
read_aio_nocache 256 Kb, 48.923937, 0.499241
read_aio_nocache 1024 Kb, 25.890697, 0.595319
read_aio_nocache 4096 Kb, 24.243182, 0.790024
read_aio_rdahead 4 Kb, 41.174411, 0.835961
read_aio_rdahead 16 Kb, 33.878604, 0.745472
read_aio_rdahead 64 Kb, 32.803192, 0.990661
read_aio_rdahead 256 Kb, 31.384924, 1.087791
read_aio_rdahead 1024 Kb, 28.371773, 0.965674
read_aio_rdahead 4096 Kb, 26.153253, 1.061434
read_aio_rdadvise 4 Kb, 27.524101, 2.958297
read_aio_rdadvise 16 Kb, 25.371076, 8.451152
read_aio_rdadvise 64 Kb, 20.393143, 0.646806
read_aio_rdadvise 256 Kb, 20.317413, 0.947333
read_aio_rdadvise 1024 Kb, 20.650352, 0.662149
read_aio_rdadvise 4096 Kb, 27.722119, 7.995248
read_async_nocache 4 Kb, 184.251830, 17.785071
read_async_nocache 16 Kb, 98.127703, 8.203037
read_async_nocache 64 Kb, 71.085478, 14.982824
read_async_nocache 256 Kb, 41.171667, 2.679787
read_async_nocache 1024 Kb, 28.967414, 10.922549
read_async_nocache 4096 Kb, 25.576624, 1.833028
read_async_rdahead 4 Kb, 44.607015, 12.562070
read_async_rdahead 16 Kb, 39.052206, 15.374651
read_async_rdahead 64 Kb, 29.822126, 0.753295
read_async_rdahead 256 Kb, 30.909042, 0.703852
read_async_rdahead 1024 Kb, 26.906630, 0.633125
read_async_rdahead 4096 Kb, 33.751843, 15.117208
read_async_rdadvise 4 Kb, 22.465572, 3.290483
read_async_rdadvise 16 Kb, 22.346271, 1.817509
read_async_rdadvise 64 Kb, 21.293437, 1.906132
read_async_rdadvise 256 Kb, 33.120510, 8.487432
read_async_rdadvise 1024 Kb, 20.365932, 0.663324
read_async_rdadvise 4096 Kb, 22.014224, 1.042894
mmap_plain, 70.328246, 21.197893
mmap_readahead, 68.161625, 17.542568
mmap_rdadvise, 25.732967, 0.452379
