Method, Mean (ms), Stddev (ms)
read_plain 4 Kb, 233.665869, 0.382708
read_plain 8 Kb, 233.347505, 0.454535
read_plain 12 Kb, 232.316501, 0.809496
read_plain 16 Kb, 232.091975, 0.116220
read_plain 24 Kb, 231.150705, 0.240171
read_plain 32 Kb, 230.974883, 0.151106
read_plain 40 Kb, 232.814673, 0.056890
read_plain 48 Kb, 232.995599, 0.158053
read_plain 56 Kb, 233.053499, 0.108534
read_plain 64 Kb, 233.006651, 0.151979
read_plain 256 Kb, 246.988509, 22.409979
read_plain 1024 Kb, 261.079021, 0.491960
read_plain 4096 Kb, 276.887216, 4.817532
read_plain 16384 Kb, 295.641526, 18.976110
read_plain 65536 Kb, 306.909272, 25.847928
read_fadvise 4 Kb, 234.463173, 0.749382
read_fadvise 8 Kb, 234.143651, 0.163213
read_fadvise 12 Kb, 234.309307, 0.412269
read_fadvise 16 Kb, 233.794703, 0.563398
read_fadvise 24 Kb, 232.436433, 1.119069
read_fadvise 32 Kb, 230.378938, 0.962787
read_fadvise 40 Kb, 234.478702, 0.501880
read_fadvise 48 Kb, 234.765100, 0.606501
read_fadvise 56 Kb, 234.073188, 0.368168
read_fadvise 64 Kb, 234.501843, 0.911160
read_fadvise 256 Kb, 233.988310, 0.156084
read_fadvise 1024 Kb, 270.789501, 9.152169
read_fadvise 4096 Kb, 270.302026, 6.036146
read_fadvise 16384 Kb, 284.969098, 18.398555
read_fadvise 65536 Kb, 289.412863, 17.781968
async_read_plain 4 Kb, 233.911152, 0.503319
async_read_plain 8 Kb, 233.808123, 0.224753
async_read_plain 12 Kb, 232.190313, 0.336989
async_read_plain 16 Kb, 232.009481, 0.314879
async_read_plain 24 Kb, 231.097619, 0.362312
async_read_plain 32 Kb, 231.493352, 0.149649
async_read_plain 40 Kb, 232.913948, 0.293767
async_read_plain 48 Kb, 232.727314, 0.389692
async_read_plain 56 Kb, 233.230123, 0.493306
async_read_plain 64 Kb, 233.239774, 0.192610
async_read_plain 256 Kb, 233.073026, 0.156458
async_read_plain 1024 Kb, 232.904689, 0.358043
async_read_plain 4096 Kb, 235.273085, 1.115546
async_read_plain 16384 Kb, 248.141543, 4.883726
async_read_plain 65536 Kb, 263.785911, 17.653301
async_read_fadvise 4 Kb, 234.251937, 0.533684
async_read_fadvise 8 Kb, 234.281798, 0.196271
async_read_fadvise 12 Kb, 234.445793, 0.379921
async_read_fadvise 16 Kb, 233.918984, 0.387960
async_read_fadvise 24 Kb, 230.598893, 0.505914
async_read_fadvise 32 Kb, 231.216908, 1.172411
async_read_fadvise 40 Kb, 233.891958, 0.850944
async_read_fadvise 48 Kb, 234.327054, 0.468737
async_read_fadvise 56 Kb, 234.904024, 0.470680
async_read_fadvise 64 Kb, 234.511026, 0.423609
async_read_fadvise 256 Kb, 233.833738, 0.322796
async_read_fadvise 1024 Kb, 233.987982, 0.208158
async_read_fadvise 4096 Kb, 235.925182, 0.513872
async_read_fadvise 16384 Kb, 244.814405, 3.539084
async_read_fadvise 65536 Kb, 249.685742, 13.927908
