Method, Mean (ms), Stddev (ms)
read_plain 4 Kb, 47.071579, 0.418010
read_plain 8 Kb, 46.955101, 0.359574
read_plain 12 Kb, 47.713417, 1.003293
read_plain 16 Kb, 47.166888, 0.314987
read_plain 24 Kb, 47.348389, 0.109927
read_plain 32 Kb, 47.362725, 0.165036
read_plain 40 Kb, 46.774796, 0.137416
read_plain 48 Kb, 46.732124, 0.132844
read_plain 56 Kb, 46.908931, 0.276618
read_plain 64 Kb, 46.759358, 0.019372
read_plain 256 Kb, 46.953316, 0.167730
read_plain 1024 Kb, 54.450823, 3.657811
read_plain 4096 Kb, 59.398095, 3.723263
read_plain 16384 Kb, 60.654266, 1.135853
read_fadvise 4 Kb, 47.628605, 0.304514
read_fadvise 8 Kb, 47.539927, 0.094795
read_fadvise 12 Kb, 47.524945, 0.050236
read_fadvise 16 Kb, 47.544709, 0.083695
read_fadvise 24 Kb, 47.810888, 0.102930
read_fadvise 32 Kb, 47.901601, 0.173938
read_fadvise 40 Kb, 46.850628, 0.179605
read_fadvise 48 Kb, 46.709096, 0.141026
read_fadvise 56 Kb, 46.881135, 0.069855
read_fadvise 64 Kb, 46.790224, 0.050307
read_fadvise 256 Kb, 47.420068, 0.376341
read_fadvise 1024 Kb, 55.559408, 1.038867
read_fadvise 4096 Kb, 59.854706, 3.445566
read_fadvise 16384 Kb, 61.674333, 4.446195
async_read_plain 4 Kb, 47.222054, 0.614533
async_read_plain 8 Kb, 47.333082, 0.625221
async_read_plain 12 Kb, 47.285738, 0.223646
async_read_plain 16 Kb, 47.242947, 0.455410
async_read_plain 24 Kb, 47.216359, 0.116047
async_read_plain 32 Kb, 47.262223, 0.067144
async_read_plain 40 Kb, 46.799491, 0.161098
async_read_plain 48 Kb, 46.832820, 0.198797
async_read_plain 56 Kb, 46.706574, 0.059513
async_read_plain 64 Kb, 46.854581, 0.184672
async_read_plain 256 Kb, 46.765148, 0.090590
async_read_plain 1024 Kb, 47.181354, 0.118463
async_read_plain 4096 Kb, 49.321421, 0.898841
async_read_plain 16384 Kb, 57.698422, 3.537799
async_read_fadvise 4 Kb, 48.080483, 0.075662
async_read_fadvise 8 Kb, 48.232612, 0.485240
async_read_fadvise 12 Kb, 47.535174, 0.042208
async_read_fadvise 16 Kb, 47.794542, 0.311560
async_read_fadvise 24 Kb, 47.395091, 0.301786
async_read_fadvise 32 Kb, 47.779221, 0.109425
async_read_fadvise 40 Kb, 46.814680, 0.132996
async_read_fadvise 48 Kb, 46.848712, 0.168665
async_read_fadvise 56 Kb, 46.759508, 0.040910
async_read_fadvise 64 Kb, 46.779749, 0.110289
async_read_fadvise 256 Kb, 47.592127, 0.100864
async_read_fadvise 1024 Kb, 47.171720, 0.480470
async_read_fadvise 4096 Kb, 49.966377, 0.322372
async_read_fadvise 16384 Kb, 56.920637, 0.414884
