Method, Mean (ms), Stddev (ms)
read_plain 4 Kb, 2992.605918, 6.069594
read_plain 8 Kb, 2989.456529, 0.730857
read_plain 12 Kb, 2984.233580, 3.636634
read_plain 16 Kb, 3054.419624, 143.102142
read_plain 24 Kb, 2973.417682, 2.434542
read_plain 32 Kb, 2972.858221, 1.408938
read_plain 40 Kb, 2976.820300, 1.667259
read_plain 48 Kb, 2977.337890, 0.438805
read_plain 56 Kb, 2977.747307, 0.839705
read_plain 64 Kb, 2975.403272, 0.549012
read_plain 256 Kb, 2988.769016, 16.388878
read_plain 1024 Kb, 3362.561120, 32.309294
read_plain 4096 Kb, 3502.284842, 11.427513
read_plain 16384 Kb, 3547.030947, 13.297388
read_plain 65536 Kb, 3585.305564, 16.002171
read_plain 262144 Kb, 3546.718898, 4.159195
read_fadvise 4 Kb, 2991.186371, 0.830919
read_fadvise 8 Kb, 2993.067256, 1.344281
read_fadvise 12 Kb, 2991.370918, 2.846258
read_fadvise 16 Kb, 2992.408841, 1.183523
read_fadvise 24 Kb, 2998.682391, 0.664200
read_fadvise 32 Kb, 2998.172782, 2.156127
read_fadvise 40 Kb, 2979.863420, 1.042032
read_fadvise 48 Kb, 2977.969424, 5.261249
read_fadvise 56 Kb, 2980.446320, 1.070125
read_fadvise 64 Kb, 2980.833357, 0.459901
read_fadvise 256 Kb, 2987.450624, 1.390432
read_fadvise 1024 Kb, 3006.219678, 4.955681
read_fadvise 4096 Kb, 3416.392482, 5.141283
read_fadvise 16384 Kb, 3558.949854, 22.165882
read_fadvise 65536 Kb, 3572.453586, 15.623360
read_fadvise 262144 Kb, 3552.457119, 4.677102
async_read_plain 4 Kb, 2984.761110, 6.123536
async_read_plain 8 Kb, 2986.497526, 3.837890
async_read_plain 12 Kb, 2982.583444, 1.229493
async_read_plain 16 Kb, 2982.079871, 1.099389
async_read_plain 24 Kb, 2974.678403, 0.665117
async_read_plain 32 Kb, 2973.055727, 1.141749
async_read_plain 40 Kb, 2977.757299, 1.443329
async_read_plain 48 Kb, 2977.234153, 1.758332
async_read_plain 56 Kb, 3048.715641, 142.464832
async_read_plain 64 Kb, 2977.405105, 0.950803
async_read_plain 256 Kb, 2976.265434, 0.754345
async_read_plain 1024 Kb, 2975.749474, 1.667361
async_read_plain 4096 Kb, 2979.428711, 1.375486
async_read_plain 16384 Kb, 2988.271335, 3.670812
async_read_plain 65536 Kb, 3013.070697, 1.268288
async_read_plain 262144 Kb, 3176.611249, 72.941738
async_read_fadvise 4 Kb, 2992.378008, 0.292353
async_read_fadvise 8 Kb, 2992.356019, 0.927200
async_read_fadvise 12 Kb, 2991.933675, 2.771483
async_read_fadvise 16 Kb, 2992.831388, 0.838333
async_read_fadvise 24 Kb, 2999.087713, 0.980699
async_read_fadvise 32 Kb, 2998.931324, 0.747005
async_read_fadvise 40 Kb, 2979.190088, 2.044508
async_read_fadvise 48 Kb, 2980.378720, 1.113797
async_read_fadvise 56 Kb, 2980.745625, 0.749440
async_read_fadvise 64 Kb, 2980.172083, 0.727429
async_read_fadvise 256 Kb, 2985.362840, 0.549863
async_read_fadvise 1024 Kb, 2985.560419, 0.780481
async_read_fadvise 4096 Kb, 2988.109254, 0.731012
async_read_fadvise 16384 Kb, 2995.392243, 0.439607
async_read_fadvise 65536 Kb, 3028.783278, 14.297891
async_read_fadvise 262144 Kb, 3187.024770, 72.512783
