File Size, Method, Mean (ms), Stddev (ms)
100663296, read_plain 4 Kb, 285.779834, 4.680295
100663296, read_plain 8 Kb, 283.289575, 0.678934
100663296, read_plain 12 Kb, 283.764153, 1.052594
100663296, read_plain 16 Kb, 285.122569, 4.598928
100663296, read_plain 24 Kb, 287.379947, 0.670823
100663296, read_plain 32 Kb, 287.509890, 0.458683
100663296, read_plain 40 Kb, 285.161202, 0.752487
100663296, read_plain 48 Kb, 285.492451, 0.740786
100663296, read_plain 56 Kb, 285.158227, 0.676298
100663296, read_plain 64 Kb, 285.244221, 0.652339
100663296, read_plain 256 Kb, 285.603200, 0.913213
100663296, read_plain 1024 Kb, 335.242409, 17.236723
100663296, read_plain 4096 Kb, 351.050415, 21.313521
100663296, read_plain 16384 Kb, 346.084583, 14.207354
100663296, read_plain 65536 Kb, 346.188741, 15.301143
100663296, read_direct 4 Kb, 1494.033438, 10.789194
100663296, read_direct 8 Kb, 941.448692, 41.565553
100663296, read_direct 12 Kb, 757.462612, 48.005768
100663296, read_direct 16 Kb, 659.064144, 56.490748
100663296, read_direct 24 Kb, 559.220168, 62.345575
100663296, read_direct 32 Kb, 553.266787, 41.528224
100663296, read_direct 40 Kb, 516.668696, 16.487825
100663296, read_direct 48 Kb, 505.065932, 15.663080
100663296, read_direct 56 Kb, 491.691596, 17.649192
100663296, read_direct 64 Kb, 477.123394, 8.046572
100663296, read_direct 256 Kb, 412.976996, 18.761476
100663296, read_direct 1024 Kb, 361.932369, 22.534400
100663296, read_direct 4096 Kb, 339.951968, 7.551985
100663296, read_direct 16384 Kb, 333.725289, 3.831614
100663296, read_direct 65536 Kb, 335.566637, 8.969785
100663296, read_fadvise 4 Kb, 280.356795, 0.808028
100663296, read_fadvise 8 Kb, 280.500648, 0.625406
100663296, read_fadvise 12 Kb, 280.738937, 0.755870
100663296, read_fadvise 16 Kb, 280.471300, 1.081366
100663296, read_fadvise 24 Kb, 281.508527, 0.753577
100663296, read_fadvise 32 Kb, 281.563935, 0.933781
100663296, read_fadvise 40 Kb, 281.691521, 0.386467
100663296, read_fadvise 48 Kb, 281.863886, 0.832965
100663296, read_fadvise 56 Kb, 281.664312, 0.937049
100663296, read_fadvise 64 Kb, 281.877149, 0.707098
100663296, read_fadvise 256 Kb, 280.874839, 0.696973
100663296, read_fadvise 1024 Kb, 285.394252, 1.762560
100663296, read_fadvise 4096 Kb, 328.148983, 15.119703
100663296, read_fadvise 16384 Kb, 333.932270, 3.253717
100663296, read_fadvise 65536 Kb, 340.285991, 14.744599
100663296, aio_read_direct 4 Kb, 2425.551478, 180.594765
100663296, aio_read_direct 8 Kb, 1502.977076, 100.388404
100663296, aio_read_direct 12 Kb, 1196.875751, 87.617808
100663296, aio_read_direct 16 Kb, 1020.931798, 59.938620
100663296, aio_read_direct 24 Kb, 784.888097, 29.411602
100663296, aio_read_direct 32 Kb, 651.349845, 23.080660
100663296, aio_read_direct 40 Kb, 582.916801, 28.669481
100663296, aio_read_direct 48 Kb, 533.067823, 34.178352
100663296, aio_read_direct 56 Kb, 475.257692, 20.821145
100663296, aio_read_direct 64 Kb, 457.209970, 19.461140
100663296, aio_read_direct 256 Kb, 334.570474, 5.465508
100663296, aio_read_direct 1024 Kb, 305.391928, 0.712558
100663296, aio_read_direct 4096 Kb, 292.389244, 1.700411
100663296, aio_read_direct 16384 Kb, 295.874178, 4.235730
100663296, aio_read_direct 65536 Kb, 306.892554, 5.866982
