Method, Mean (ms), Stddev (ms)
read_plain 4 Kb, 23.646671, 0.092902
read_plain 8 Kb, 23.570533, 0.044782
read_plain 12 Kb, 24.551084, 0.031029
read_plain 16 Kb, 23.835874, 0.185594
read_plain 24 Kb, 23.998052, 0.237389
read_plain 32 Kb, 23.902750, 0.057879
read_plain 40 Kb, 23.638930, 0.121077
read_plain 48 Kb, 23.796513, 0.085613
read_plain 56 Kb, 23.827041, 0.103688
read_plain 64 Kb, 23.724136, 0.050425
read_plain 256 Kb, 25.082191, 0.778643
read_plain 1024 Kb, 29.146861, 2.248789
read_plain 4096 Kb, 30.759619, 1.990494
read_fadvise 4 Kb, 24.035279, 0.217877
read_fadvise 8 Kb, 25.019699, 0.137550
read_fadvise 12 Kb, 25.161700, 0.242907
read_fadvise 16 Kb, 25.161562, 0.242442
read_fadvise 24 Kb, 25.039774, 0.244053
read_fadvise 32 Kb, 24.502133, 0.206883
read_fadvise 40 Kb, 23.768622, 0.099387
read_fadvise 48 Kb, 23.796088, 0.095198
read_fadvise 56 Kb, 23.726696, 0.143812
read_fadvise 64 Kb, 23.742752, 0.144405
read_fadvise 256 Kb, 24.118113, 0.256369
read_fadvise 1024 Kb, 24.589715, 0.196278
read_fadvise 4096 Kb, 30.634270, 2.094536
async_read_plain 4 Kb, 23.773345, 0.431385
async_read_plain 8 Kb, 23.659457, 0.203155
async_read_plain 12 Kb, 23.676592, 0.037105
async_read_plain 16 Kb, 23.668706, 0.168603
async_read_plain 24 Kb, 23.987402, 0.090720
async_read_plain 32 Kb, 23.957291, 0.044723
async_read_plain 40 Kb, 23.592993, 0.030609
async_read_plain 48 Kb, 23.596858, 0.049707
async_read_plain 56 Kb, 23.514976, 0.049531
async_read_plain 64 Kb, 23.694881, 0.152656
async_read_plain 256 Kb, 23.665577, 0.036126
async_read_plain 1024 Kb, 24.136704, 0.085123
async_read_plain 4096 Kb, 26.656322, 0.466915
async_read_fadvise 4 Kb, 24.125594, 0.226850
async_read_fadvise 8 Kb, 24.082412, 0.079538
async_read_fadvise 12 Kb, 24.098376, 0.297119
async_read_fadvise 16 Kb, 24.089384, 0.140830
async_read_fadvise 24 Kb, 24.267328, 0.058221
async_read_fadvise 32 Kb, 24.006705, 0.023498
async_read_fadvise 40 Kb, 23.724398, 0.227784
async_read_fadvise 48 Kb, 23.869461, 0.140749
async_read_fadvise 56 Kb, 23.780182, 0.163480
async_read_fadvise 64 Kb, 23.646904, 0.065704
async_read_fadvise 256 Kb, 23.844230, 0.255058
async_read_fadvise 1024 Kb, 24.176990, 0.308434
async_read_fadvise 4096 Kb, 26.425814, 0.264679
