Method, Mean (ms), Stddev (ms)
read_plain 4 Kb, 1496.736192, 0.361188
read_plain 8 Kb, 1496.678812, 0.904665
read_plain 12 Kb, 1497.541799, 0.926659
read_plain 16 Kb, 1497.743862, 0.737746
read_plain 24 Kb, 1497.313590, 3.562132
read_plain 32 Kb, 1496.317000, 2.992851
read_plain 40 Kb, 1496.004571, 1.652345
read_plain 48 Kb, 1497.870619, 4.986435
read_plain 56 Kb, 1495.598606, 0.491836
read_plain 64 Kb, 1495.647603, 0.273135
read_plain 256 Kb, 1507.278888, 15.798594
read_plain 1024 Kb, 1686.346692, 16.590626
read_plain 4096 Kb, 1767.741835, 21.799742
read_plain 16384 Kb, 1786.425674, 13.937127
read_plain 65536 Kb, 1789.145948, 14.286806
read_plain 262144 Kb, 1782.355546, 7.439919
read_fadvise 4 Kb, 1507.559755, 0.393137
read_fadvise 8 Kb, 1509.042032, 0.782422
read_fadvise 12 Kb, 1507.952475, 0.902465
read_fadvise 16 Kb, 1509.184365, 0.457884
read_fadvise 24 Kb, 1493.544514, 1.536912
read_fadvise 32 Kb, 1492.823218, 0.188661
read_fadvise 40 Kb, 1484.081740, 2.750943
read_fadvise 48 Kb, 1482.899666, 0.606844
read_fadvise 56 Kb, 1482.267746, 0.172598
read_fadvise 64 Kb, 1483.696104, 1.382144
read_fadvise 256 Kb, 1503.027980, 1.517740
read_fadvise 1024 Kb, 1521.751397, 20.902595
read_fadvise 4096 Kb, 1732.682867, 20.240442
read_fadvise 16384 Kb, 1789.627749, 19.187460
read_fadvise 65536 Kb, 1794.072618, 20.824040
read_fadvise 262144 Kb, 1788.876640, 6.895924
async_read_plain 4 Kb, 1495.276438, 0.609465
async_read_plain 8 Kb, 1495.796052, 0.603732
async_read_plain 12 Kb, 1496.933089, 0.456484
async_read_plain 16 Kb, 1496.690090, 1.972903
async_read_plain 24 Kb, 1494.961434, 1.131971
async_read_plain 32 Kb, 1494.502322, 0.622143
async_read_plain 40 Kb, 1495.593925, 0.468307
async_read_plain 48 Kb, 1496.007753, 0.597066
async_read_plain 56 Kb, 1495.157055, 0.920946
async_read_plain 64 Kb, 1495.340543, 0.612478
async_read_plain 256 Kb, 1495.047061, 0.409480
async_read_plain 1024 Kb, 1495.730767, 0.346068
async_read_plain 4096 Kb, 1497.868467, 0.871798
async_read_plain 16384 Kb, 1504.524783, 0.735525
async_read_plain 65536 Kb, 1546.263488, 18.195700
async_read_plain 262144 Kb, 1666.631629, 57.813466
async_read_fadvise 4 Kb, 1505.566051, 0.932576
async_read_fadvise 8 Kb, 1509.183952, 0.403097
async_read_fadvise 12 Kb, 1508.737874, 0.749886
async_read_fadvise 16 Kb, 1507.454823, 2.154303
async_read_fadvise 24 Kb, 1492.388526, 0.351807
async_read_fadvise 32 Kb, 1491.863810, 0.803030
async_read_fadvise 40 Kb, 1483.024939, 0.627239
async_read_fadvise 48 Kb, 1483.170784, 0.376139
async_read_fadvise 56 Kb, 1483.309661, 0.571497
async_read_fadvise 64 Kb, 1482.680292, 0.374962
async_read_fadvise 256 Kb, 1501.854362, 1.172372
async_read_fadvise 1024 Kb, 1503.777325, 1.234452
async_read_fadvise 4096 Kb, 1507.218369, 1.113896
async_read_fadvise 16384 Kb, 1513.678665, 0.664414
async_read_fadvise 65536 Kb, 1541.033706, 0.880444
async_read_fadvise 262144 Kb, 1676.495994, 57.503152
