Method, Mean (ms), Stddev (ms)
write_preallocate_truncate_nocache 4 Kb, 174.793633, 2.496267
write_preallocate_truncate_nocache 8 Kb, 157.140637, 2.606118
write_preallocate_truncate_nocache 12 Kb, 151.174284, 2.659723
write_preallocate_truncate_nocache 16 Kb, 286.390070, 6.081349
write_preallocate_truncate_nocache 24 Kb, 238.186443, 1.147610
write_preallocate_truncate_nocache 32 Kb, 211.100468, 1.008726
write_preallocate_truncate_nocache 40 Kb, 197.555354, 0.588366
write_preallocate_truncate_nocache 48 Kb, 192.888578, 5.624728
write_preallocate_truncate_nocache 56 Kb, 190.351009, 4.676005
write_preallocate_truncate_nocache 64 Kb, 184.775862, 1.711376
write_preallocate_truncate_nocache 256 Kb, 166.999512, 1.915703
write_preallocate_truncate_nocache 1024 Kb, 158.491237, 3.649382
write_preallocate_truncate_nocache 4096 Kb, 153.340631, 3.645382
write_preallocate_truncate_nocache 16384 Kb, 159.163163, 6.637531
async_write_preallocate_truncate_nocache 4 Kb, 156.082087, 6.757418
async_write_preallocate_truncate_nocache 8 Kb, 145.420786, 1.507763
async_write_preallocate_truncate_nocache 12 Kb, 139.710537, 1.208442
async_write_preallocate_truncate_nocache 16 Kb, 121.462943, 7.522193
async_write_preallocate_truncate_nocache 24 Kb, 116.478706, 0.624148
async_write_preallocate_truncate_nocache 32 Kb, 115.277565, 0.151149
async_write_preallocate_truncate_nocache 40 Kb, 114.621448, 0.235239
async_write_preallocate_truncate_nocache 48 Kb, 114.344867, 0.143093
async_write_preallocate_truncate_nocache 56 Kb, 114.486109, 0.780045
async_write_preallocate_truncate_nocache 64 Kb, 114.136755, 0.655907
async_write_preallocate_truncate_nocache 256 Kb, 112.912535, 0.833544
async_write_preallocate_truncate_nocache 1024 Kb, 115.459868, 1.987164
async_write_preallocate_truncate_nocache 4096 Kb, 123.848576, 2.430902
async_write_preallocate_truncate_nocache 16384 Kb, 157.776729, 4.947720
