Method, Mean (ms), Stddev (ms)
read_plain 4 Kb, 61.505340, 1.193296
read_plain 16 Kb, 77.463240, 24.680052
read_plain 64 Kb, 85.503837, 28.098565
read_plain 256 Kb, 68.485576, 11.328459
read_plain 1024 Kb, 52.610108, 1.057082
read_plain 4096 Kb, 47.241680, 1.093133
read_plain 16384 Kb, 50.676029, 2.431772
read_nocache 4 Kb, 584.911377, 80.425276
read_nocache 16 Kb, 220.155980, 7.604732
read_nocache 64 Kb, 129.460395, 10.082125
read_nocache 256 Kb, 109.317204, 21.174346
read_nocache 1024 Kb, 63.442012, 15.365681
read_nocache 4096 Kb, 56.426837, 18.956318
read_nocache 16384 Kb, 57.973243, 10.188961
read_readahead 4 Kb, 74.426155, 24.948206
read_readahead 16 Kb, 62.074013, 1.367217
read_readahead 64 Kb, 61.335345, 1.123673
read_readahead 256 Kb, 69.724083, 17.941269
read_readahead 1024 Kb, 52.745365, 0.460292
read_readahead 4096 Kb, 56.435481, 18.708893
read_readahead 16384 Kb, 53.534240, 4.535867
read_rdadvise 4 Kb, 40.335037, 9.172796
read_rdadvise 16 Kb, 36.338915, 0.757951
read_rdadvise 64 Kb, 44.732195, 17.512174
read_rdadvise 256 Kb, 36.579524, 0.601015
read_rdadvise 1024 Kb, 44.191938, 15.186523
read_rdadvise 4096 Kb, 37.042526, 0.791272
read_rdadvise 16384 Kb, 44.622683, 0.506408
read_aio_nocache 4 Kb, 604.966763, 8.919043
read_aio_nocache 16 Kb, 228.125917, 6.219433
read_aio_nocache 64 Kb, 119.347405, 7.694213
read_aio_nocache 256 Kb, 102.615901, 12.996513
read_aio_nocache 1024 Kb, 49.681258, 0.376902
read_aio_nocache 4096 Kb, 44.403905, 4.877979
read_aio_nocache 16384 Kb, 69.212491, 17.537251
read_aio_rdahead 4 Kb, 75.376556, 0.795826
read_aio_rdahead 16 Kb, 73.388853, 14.948609
read_aio_rdahead 64 Kb, 61.408432, 1.352954
read_aio_rdahead 256 Kb, 58.951944, 0.418664
read_aio_rdahead 1024 Kb, 51.987275, 0.896874
read_aio_rdahead 4096 Kb, 46.794320, 0.827891
read_aio_rdahead 16384 Kb, 51.425520, 0.864373
read_aio_rdadvise 4 Kb, 52.078110, 12.879882
read_aio_rdadvise 16 Kb, 36.315780, 0.685262
read_aio_rdadvise 64 Kb, 36.578961, 0.851322
read_aio_rdadvise 256 Kb, 47.131810, 12.831222
read_aio_rdadvise 1024 Kb, 36.673950, 0.619483
read_aio_rdadvise 4096 Kb, 47.170865, 14.267059
read_aio_rdadvise 16384 Kb, 45.069644, 1.520164
read_async_nocache 4 Kb, 333.963969, 10.998058
read_async_nocache 16 Kb, 172.425644, 27.471451
read_async_nocache 64 Kb, 102.817266, 2.898035
read_async_nocache 256 Kb, 89.434485, 11.954719
read_async_nocache 1024 Kb, 45.491703, 1.138804
read_async_nocache 4096 Kb, 66.511966, 20.466453
read_async_nocache 16384 Kb, 65.398338, 14.700838
read_async_rdahead 4 Kb, 70.140445, 19.766585
read_async_rdahead 16 Kb, 56.799597, 1.057043
read_async_rdahead 64 Kb, 56.072358, 1.195858
read_async_rdahead 256 Kb, 56.525607, 0.956366
read_async_rdahead 1024 Kb, 53.650223, 4.989926
read_async_rdahead 4096 Kb, 50.599340, 15.078671
read_async_rdahead 16384 Kb, 58.162599, 15.148684
read_async_rdadvise 4 Kb, 38.921539, 2.934917
read_async_rdadvise 16 Kb, 45.614783, 10.894354
read_async_rdadvise 64 Kb, 36.597650, 2.442246
read_async_rdadvise 256 Kb, 36.913749, 0.753636
read_async_rdadvise 1024 Kb, 48.761303, 15.217433
read_async_rdadvise 4096 Kb, 47.728384, 14.524776
read_async_rdadvise 16384 Kb, 44.667236, 0.581042
mmap_plain, 119.098298, 1.230409
mmap_readahead, 119.146177, 1.588971
mmap_rdadvise, 58.445135, 16.634014
