Method                                  Mean (ms)           Stddev (ms)
read_plain 4 Kb                         251.116935          39.047578
read_plain 16 Kb                        293.376713          54.056633
read_plain 64 Kb                        250.159275          44.519504
read_plain 256 Kb                       225.399922          2.719641
read_plain 1024 Kb                      217.167067          26.441216
read_plain 4096 Kb                      209.184301          59.037014
read_plain 16384 Kb                     180.444081          2.254405
read_plain 65536 Kb                     191.614094          5.113593
read_nocache 4 Kb                       1913.570061         24.820389
read_nocache 16 Kb                      668.074573          24.855378
read_nocache 64 Kb                      361.366073          49.875290
read_nocache 256 Kb                     417.320955          67.853513
read_nocache 1024 Kb                    284.458981          82.626806
read_nocache 4096 Kb                    248.409639          63.046744
read_nocache 16384 Kb                   201.788292          59.927553
read_nocache 65536 Kb                   215.527054          42.009628
read_readahead 4 Kb                     270.192362          49.424062
read_readahead 16 Kb                    228.349491          2.633211
read_readahead 64 Kb                    246.425844          26.983251
read_readahead 256 Kb                   259.089563          53.933300
read_readahead 1024 Kb                  226.044376          29.638629
read_readahead 4096 Kb                  167.864206          2.443310
read_readahead 16384 Kb                 183.560568          3.923898
read_readahead 65536 Kb                 228.000402          49.995423
read_rdadvise 4 Kb                      160.531069          46.195702
read_rdadvise 16 Kb                     184.303566          60.003191
read_rdadvise 64 Kb                     179.043410          55.421413
read_rdadvise 256 Kb                    157.284681          26.689008
read_rdadvise 1024 Kb                   137.164087          1.060343
read_rdadvise 4096 Kb                   148.110385          11.314589
read_rdadvise 16384 Kb                  170.941138          37.700426
read_rdadvise 65536 Kb                  188.155234          37.577941
read_async_nocache 4 Kb                 2076.772837         44.009950
read_async_nocache 16 Kb                723.104878          15.614514
read_async_nocache 64 Kb                300.662288          29.538011
read_async_nocache 256 Kb               331.344207          50.534597
read_async_nocache 1024 Kb              204.243322          39.147422
read_async_nocache 4096 Kb              168.235712          32.433966
read_async_nocache 16384 Kb             222.184268          59.882904
read_async_nocache 65536 Kb             215.934891          30.162749
read_async_rdadvise 4 Kb                253.828155          17.685121
read_async_rdadvise 16 Kb               172.650720          31.139777
read_async_rdadvise 64 Kb               161.372216          30.231188
read_async_rdadvise 256 Kb              159.209953          23.162317
read_async_rdadvise 1024 Kb             186.308131          44.608873
read_async_rdadvise 4096 Kb             156.064727          36.684193
read_async_rdadvise 16384 Kb            197.455996          47.818735
read_async_rdadvise 65536 Kb            167.946794          1.400682
mmap_plain                              447.292083          21.829901
mmap_readahead                          442.867324          48.142695
mmap_rdadvise                           211.835829          34.145219
