Method                                  Mean (ms)           Stddev (ms)
read_plain 4 Kb                         537.413802          81.523830
read_plain 16 Kb                        475.769660          50.284127
read_plain 64 Kb                        547.282078          81.365133
read_plain 256 Kb                       484.269219          53.551984
read_plain 1024 Kb                      407.711262          37.152712
read_plain 4096 Kb                      385.784588          73.012723
read_plain 16384 Kb                     388.581787          44.955935
read_plain 65536 Kb                     428.718512          58.931191
read_nocache 4 Kb                       3838.846961         66.509553
read_nocache 16 Kb                      1393.279755         78.676514
read_nocache 64 Kb                      669.441888          70.942970
read_nocache 256 Kb                     725.032539          28.642540
read_nocache 1024 Kb                    484.604721          62.930022
read_nocache 4096 Kb                    389.194003          50.431549
read_nocache 16384 Kb                   379.394567          78.710061
read_nocache 65536 Kb                   362.027056          19.492716
read_readahead 4 Kb                     479.716639          60.068788
read_readahead 16 Kb                    486.978790          64.131375
read_readahead 64 Kb                    502.966446          60.330160
read_readahead 256 Kb                   496.516976          110.967191
read_readahead 1024 Kb                  422.457322          40.410979
read_readahead 4096 Kb                  338.811582          15.112257
read_readahead 16384 Kb                 389.303983          52.980098
read_readahead 65536 Kb                 361.765339          4.209185
read_rdadvise 4 Kb                      400.666980          125.176605
read_rdadvise 16 Kb                     396.514522          100.517390
read_rdadvise 64 Kb                     396.509612          84.457832
read_rdadvise 256 Kb                    345.565590          54.887620
read_rdadvise 1024 Kb                   337.095634          53.194166
read_rdadvise 4096 Kb                   412.056577          72.523536
read_rdadvise 16384 Kb                  307.715839          3.180952
read_rdadvise 65536 Kb                  372.656082          84.727647
read_async_nocache 4 Kb                 4331.430391         95.723285
read_async_nocache 16 Kb                1327.944437         19.337189
read_async_nocache 64 Kb                674.900003          82.851211
read_async_nocache 256 Kb               749.806707          72.721991
read_async_nocache 1024 Kb              395.648566          58.479944
read_async_nocache 4096 Kb              389.110513          74.565515
read_async_nocache 16384 Kb             355.737289          78.783228
read_async_nocache 65536 Kb             342.167253          13.943215
read_async_rdadvise 4 Kb                609.957670          54.224414
read_async_rdadvise 16 Kb               368.081453          62.050715
read_async_rdadvise 64 Kb               326.502991          79.662229
read_async_rdadvise 256 Kb              347.424057          81.973649
read_async_rdadvise 1024 Kb             375.145955          92.296648
read_async_rdadvise 4096 Kb             310.150002          59.417057
read_async_rdadvise 16384 Kb            325.746150          48.542922
read_async_rdadvise 65536 Kb            437.119333          93.427766
mmap_plain                              1022.638418         108.103250
mmap_readahead                          982.212302          56.483737
mmap_rdadvise                           441.482747          75.254712
