Method, Mean (ms), Stddev (ms)
write_preallocate_truncate_nocache 4 Kb, 93.823059, 1.359771
write_preallocate_truncate_nocache 8 Kb, 84.084878, 0.848642
write_preallocate_truncate_nocache 12 Kb, 82.223397, 1.485923
write_preallocate_truncate_nocache 16 Kb, 144.292700, 5.831697
write_preallocate_truncate_nocache 24 Kb, 118.933598, 0.498292
write_preallocate_truncate_nocache 32 Kb, 102.919460, 4.411258
write_preallocate_truncate_nocache 40 Kb, 98.861551, 0.656082
write_preallocate_truncate_nocache 48 Kb, 98.218937, 1.396520
write_preallocate_truncate_nocache 56 Kb, 95.737262, 1.512251
write_preallocate_truncate_nocache 64 Kb, 91.769925, 0.776277
write_preallocate_truncate_nocache 256 Kb, 83.505023, 1.181614
write_preallocate_truncate_nocache 1024 Kb, 80.526289, 2.991990
write_preallocate_truncate_nocache 4096 Kb, 76.673247, 1.502820
async_write_preallocate_truncate_nocache 4 Kb, 85.409573, 5.591485
async_write_preallocate_truncate_nocache 8 Kb, 81.079614, 0.500680
async_write_preallocate_truncate_nocache 12 Kb, 78.349937, 0.325345
async_write_preallocate_truncate_nocache 16 Kb, 61.418503, 6.256107
async_write_preallocate_truncate_nocache 24 Kb, 58.327761, 0.069630
async_write_preallocate_truncate_nocache 32 Kb, 62.337245, 13.795177
async_write_preallocate_truncate_nocache 40 Kb, 57.414036, 0.040730
async_write_preallocate_truncate_nocache 48 Kb, 57.192380, 0.056156
async_write_preallocate_truncate_nocache 56 Kb, 57.305453, 0.247203
async_write_preallocate_truncate_nocache 64 Kb, 57.176329, 0.195934
async_write_preallocate_truncate_nocache 256 Kb, 56.793827, 0.238813
async_write_preallocate_truncate_nocache 1024 Kb, 59.172743, 1.415283
async_write_preallocate_truncate_nocache 4096 Kb, 67.333293, 2.137809
